,Source,Target,value,nb_transactions
0,14,984,8199990000,1
1,3,85,89053728,1
2,413,160,613851019,1
3,546,714,141740000,1
4,91,2471,21296539,1
5,1247,2183,74767505,1
6,239,2288,3205642,1
7,243,1089,5556977,2
8,12,665,769295998328,47
9,172,1265,1635313760,16
10,92,2,10499363,1
11,35,2134,103219971,1
12,342,2360,50089126,1
13,2659,1197,301763316,1
14,507,836,1568092692,1
15,532,86,16331566,1
16,8,2,159608429603,17
17,12,3091,267013459373,2
18,199,1238,799981920,1
19,2607,124,91627219,1
20,2348,1597,435019906,1
21,923,2183,9683279,2
22,1243,1283,339638487,1
23,1764,975,35070000,1
24,23,984,144287296,5
25,116,2183,127774990,2
26,2451,91,463653548,1
27,12,1018,66013605,1
28,1101,0,181970800788,7
29,38,984,10971940123,4
30,305,270,499980000,1
31,2348,240,20096000,1
32,1957,105,13464757,1
33,749,2,4999980000,1
34,1542,2615,99980000,1
35,82,58,1312959898,1
36,34,188,14475036,1
37,283,188,2755134,1
38,120,2363,3852082052,3
39,1657,3043,12407916,1
40,1302,203,111945166,1
41,4,538,724255107,6
42,5,2224,10178719,1
43,672,2,157130000,1
44,152,870,1906090,1
45,1597,2558,58270000,1
46,28,1044,448892283,11
47,2,555,98316910,2
48,1564,169,399610000,1
49,245,512,507038,1
50,12,627,36512705307,1
51,113,268,6001740,1
52,1083,376,22598997,1
53,1337,61,400180000,1
54,49,665,195850000,1
55,2355,230,4195916,1
56,398,2355,16763687,1
57,675,2248,24187234,1
58,64,103,1737328712,1
59,28,754,18917259,2
60,2,923,710352119,9
61,53,0,34135823,4
62,2000,508,310060000,1
63,3,2231,84719322,1
64,28,2186,19203993,2
65,148,1847,49980000,1
66,557,1027,18887348,5
67,121,762,423137898,1
68,12,344,194023220,1
69,205,3035,7235166,1
70,695,1603,5382613294,3
71,364,53,299988319,1
72,67,56,8071833,1
73,487,0,13051682,1
74,150,19,37471202,1
75,1346,1311,66220000,4
76,0,1776,6857541,4
77,8,478,164451774107,15
78,12,272,27308201,1
79,146,117,1191000090,1
80,2040,327,1085697318,1
81,2248,342,14871785,1
82,8,484,40375682525,6
83,3,2248,9720000,2
84,2568,56,54783704,1
85,56,41,3668822402,1
86,481,1440,99441215,2
87,808,2248,1618599,1
88,157,1341,105200000,1
89,1061,396,3594771232,1
90,1390,2187,1857386,1
91,582,376,1365080047,33
92,120,1958,3852082052,3
93,204,164,490420000,1
94,1708,2531,724252876,1
95,334,2170,399620000,1
96,2375,230,48240000,1
97,29,253,123045519,1
98,581,2187,1200366,1
99,64,2594,812289719,1
100,728,2744,86738466,1
101,74,368,400610000,1
102,455,1313,2510118,1
103,3061,165,3062168,1
104,11,762,1108011256,2
105,778,56,4902559270,8
106,14,1238,18099950000,1
107,205,1597,29870000,1
108,936,252,720024823,1
109,950,665,100800000,1
110,546,61,100070000,1
111,1378,2183,33957296,1
112,1019,2262,60102466,1
113,2388,743,258797771,1
114,1864,175,145174466,1
115,113,79,23067,1
116,0,148,282284151,4
117,1815,1603,188138547,2
118,355,1478,15669620,2
119,91,907,99980000,1
