,Source,Target,value,nb_transactions
0,116,2206,3501125172,3
1,28,478,47958012,2
2,28,2131,24583578,2
3,105,1313,29936304346,23
4,278,1737,288802796,1
5,84,1910,1750000,1
6,23,771,39379429,1
7,38,56,6576098804,4
8,39,483,62170933,1
9,0,2210,8490356,8
10,1313,984,29981021,2
11,529,2314,40050000,1
12,2691,1311,731489573,102
13,273,30,25549749,1
14,124,762,199980000,1
15,85,129,17374464,1
16,0,32,3732449,3
17,38,12,63371228256,8
18,1621,816,815144964,1
19,12,698,78782679947,2
20,1576,681,145480854,1
21,278,1675,856353703,1
22,150,567,7530254205,2
23,278,435,1260333067,2
24,353,61,39598828570,24
25,61,327,6090400,1
26,46,2267,1999999774,1
27,55,613,189488333,3
28,28,101,199279073,2
29,42,2734,76229063,1
30,2636,38,11279478,2
31,112,2433,48424298,1
32,105,2121,1053493668,1
33,268,2206,1000000,1
34,124,266,11749718,1
35,105,87,518850000,1
36,2,101,200017718,1
37,665,475,3787842882,1
38,12,63,21476995,1
39,22,487,29877000,1
40,278,331,1338786775,2
41,1107,37,140069469388,5
42,831,270,142297809,1
43,324,2293,3904993,1
44,6,762,35219829,1
45,297,11,46023031,1
46,116,119,1738775919,2
47,14,278,2054719083,2
48,91,1457,851814605,1
49,278,570,382538521,2
50,239,61,5212518320,15
51,713,984,70884500,1
52,61,166,1231280000,1
53,227,792,27156211,2
54,239,231,36457080,1
55,11,417,149999000,1
56,1,2610,1199990000,1
57,113,1752,31064471,10
58,23,28,174755643,1
59,199,0,40001437866,1
60,150,1794,1638509453,1
61,113,2187,90183,1
62,8,270,29869000,1
63,28,529,26325550,1
64,2,1460,40582440,2
65,664,762,43029826,1
66,12,2246,519245778,2
67,2912,28,427100756,2
68,2,142,5758540,1
69,28,37,33868982,1
70,564,850,281735661,1
71,2013,762,562451838,1
72,55,38,8155324223,24
73,38,268,116162875233,21
74,467,414,13342011,2
75,38,2636,45128319938,3
76,105,1752,4935766769,5
77,2154,11,128990000,1
78,12,2229,40461243817514,547
79,268,56,101285233,1
80,104,1986,786760361,1
81,56,414,302272000,2
82,199,984,3699990000,1
83,458,270,21119623,1
84,116,382,1736811787,1
85,459,762,24297194,1
86,1313,2636,109048574,2
87,105,2652,2982798566,2
88,278,1,1525136890,3
89,1984,270,6196435,1
90,61,12,6877860000,2
91,64,2210,960841081,1
92,20,867,4694708,3
93,1107,2636,56392149,2
94,202,762,7290000,3
95,1882,762,49328205,2
96,2811,1754,20583941,1
97,12,644,99990000,1
98,3008,1313,4334851,1
99,1935,0,3283361,1
100,1340,762,3407870724,1
101,1105,12,82962823,2
102,898,981,69515349,1
103,49,1773,488262805,1
104,40,373,5662801,1
105,194,56,2550000,1
106,270,1329,2679000,1
107,105,2857,442300970,1
108,1313,1776,299990000,1
109,302,12,12371369,1
110,1622,218,15349110,6
111,28,1305,3313094660,84
112,278,995,498531008,2
113,38,67,2506027857,1
114,12,283,220886191,1
115,23,1839,108728439,2
116,60,2293,599108614,1
117,39,2975,32906584,1
118,142,359,8358123368,1
119,49,1067,4317278,1
120,28,16,82863857,2
121,105,113,699929111,1
122,1107,12,3885852200,2
123,2541,1,499940000,1
124,115,2866,8601000,1
125,278,311,829197088,2
126,9,318,658307562,1
127,4,12,100799920000,2
128,308,2362,417149620,1
129,11,2178,270058092,2
130,278,942,829197088,2
131,4,1776,50399960000,1
132,55,2178,149446667,3
133,278,2643,596105526,1
134,93,858,272858656,1
135,28,2625,178629436,1
136,876,2210,122003971,1
137,12,735,4999867040,1
138,12,28,726948,1
139,105,934,380624535,1
140,278,1057,7640366662,14
141,114,919,5879466245,3
142,56,95,17220042,1
143,575,2304,92930468,2
144,12,93,1805742521,11
145,278,396,273447341,1
146,12,138,2323189825432,31
147,116,581,43747781,1
148,1,761,1297424,1
149,8,1245,84579993,1
150,104,12,903823,1
151,150,299,10059188404,4
152,0,20,2570775,1
153,37,762,499900000,1
154,148,113,14300000,4
155,2206,2327,246490171,2
156,227,146,253636185,1
157,75,533,11849243,18
158,12,1662,279153692,2
159,1794,93,46885616,3
160,1406,2246,216805590,1
161,2166,504,11523306,1
162,489,12,999990000,1
163,12,1073,48836630,1
164,82,596,56091669,1
165,1130,1603,691761225,1
166,239,1416,476990000,1
167,61,192,65308937,1
168,64,11,207166224,1
169,270,3066,8470487,1
170,55,1019,126049864,2
171,260,1116,350313932,32
172,12,404,472008254,1
173,1397,12,2000021,1
174,115,275,8537000,1
175,323,1776,274238806,4
176,55,1836,2353087655,2
177,880,575,3730000,1
178,307,2278,20143856,1
179,59,304,79330911,2
180,2233,93,320037601,3
181,28,2295,14089030,1
182,291,501,9934912,1
183,93,382,59184676,1
184,12,632,4999867040,1
185,1099,283,227611656,3
186,2,879,8170666,1
187,2011,1083,39389095,3
188,454,762,121766866,1
189,1,2229,35798470000,1
190,74,2210,1234666060,5
191,55,915,2353087655,2
192,23,454,134387734,1
193,0,2206,632814,2
194,529,2210,153830872,4
195,1397,529,3158143,1
196,1107,1281,974237763,1
197,51,444,358149347,1
198,2759,0,168037026,1
199,86,478,4221378,1
200,67,352,215781683,1
201,56,340,258652919,2
202,79,0,29602342,23
203,278,981,1000289253,1
204,796,2851,999980815,1
205,28,2474,210458019,4
206,89,93,420553000,3
207,28,2362,6575056788,6
208,174,2,454865630,1
209,434,45,123871,1
210,30,198,826906233,4
211,1116,38,4805968250,2
212,68,28,160879669,1
213,2636,86,8012149,1
214,2349,12,156450081,1
215,32,85,1783414,1
216,2007,827,1803970876,3
217,2880,2210,1077974904,1
218,278,2230,1129840720,3
219,150,2229,33526993056,9
220,2,614,14162766,1
221,28,182,2175514555,2
222,64,11,156517860,2
223,512,2,1078391,1
224,0,105,11058673,2
225,0,2291,10372918,3
226,2,849,33062480,1
227,2140,470,8693000,1
228,278,457,189199863,1
229,463,762,63097273,1
