,Source,Target,value,nb_transactions
0,105,2185,9516044389,19
1,235,188,16926022,1
2,113,467,58732329,17
3,1304,1457,1229992663,3
4,1099,2219,1385226,1
5,66,615,2764069206,1
6,551,607,5212200749,1
7,12,2363,473046859,6
8,20,492,121400475,1
9,89,1089,28813644835,1
10,148,1603,6982131648,2
11,64,95,237164956,2
12,120,1568,5143479590,4
13,148,674,7548820543,1
14,297,32,8601334,1
15,236,944,15430,1
16,22,1603,226098607581,7
17,1116,1714,4038787817,1
18,120,418,5143479590,4
19,12,98,1042689,1
20,1100,2248,3517400009,7
21,56,894,2161472612159,64
22,32,145,8532940,4
23,95,2224,28671686,1
24,411,1281,95555764,4
25,148,2187,31973799,1
26,150,188,92053171,2
27,32,2187,7221781,2
28,113,56,4713964,4
29,46,330,5543650,1
30,105,943,1523685352,1
31,120,2248,10286959180,8
32,336,0,354700,1
33,56,964,587181719,1
34,22,0,387597612996,12
35,85,2294,8551731,1
36,105,244,10729669954,7
37,105,323,5626254085,2
38,278,462,190109709,1
39,471,304,33958862,1
40,28,1466,106560011,2
41,1989,71,16420000,1
42,105,2215,284956717,1
43,1,121,2788016928,5
44,358,901,28386363,3
45,12,2329,30649157031,4
46,821,73,1108840,1
47,819,1799,24623684,1
48,12,538,122291899264,4
49,64,1,984059809,4
50,215,20,97188185,4
51,105,77,149716938,1
52,663,2194,607098,1
53,116,1478,412329941,4
54,278,2176,197240000,1
55,227,23,40507113,3
56,30,1143,12735682,1
57,2,148,73117000,1
58,38,1397,5283388,1
59,8,182,1714116829,1
60,105,61,28724319623,12
61,0,63,2017003684,106
62,12,2248,6608577358,66
63,69,2479,20592733409,1
64,424,28,12263944,1
65,256,2182,6054810,1
66,2248,105,5684752,2
67,268,2210,2451091,1
68,396,1386,1198469,1
69,63,374,115267776,4
70,278,56,9404305177,67
71,134,85,18515936,1
72,294,0,36680718,10
73,1042,0,69698404,1
74,471,876,20812732,1
75,38,609,43464795670,21
76,11,61,341507442,1
77,234,2210,2301024682,1
78,227,1094,60362774,1
79,0,1132,303000,1
80,1611,0,682269100,1
81,936,2210,890348000,1
82,150,2715,83059264,1
83,0,14,2986560,1
84,105,538,3308904469,9
85,22,2131,32299801083,1
86,343,2187,14196721,2
87,1,297,3908066930,6
88,2038,961,10532175,1
89,1,28,199981239,1
90,5,12,1265991,1
91,14,762,35799940000,2
92,263,665,38450000,1
93,61,188,23912819,4
94,1095,2841,261987330,1
95,8,1457,33063546987,4
96,2614,2219,8802378,1
97,278,297,4232258934,29
98,261,665,1040186,1
99,2720,12,4999987058,1
100,374,63,2979983507,9
101,2,59,4918496,1
102,105,1478,65710584754,86
103,150,350,1436046152,1
104,278,984,9337692094,68
105,38,1,4133751900,2
106,747,2219,6643893,1
107,38,38,109888221,1
108,11,1981,524964379,1
109,102,467,3529766,1
110,376,2210,7178174528,55
111,2342,1073,12301571,1
112,1708,2531,2003967440,1
113,140,56,317428123,3
114,82,38,5232768111,2
115,73,12,40402138,13
116,2248,993,16099831,1
117,376,2362,257562900,2
118,105,79,2287102924,3
119,944,16,483637,1
120,5,796,6018891,1
121,61,2847,47794527,1
122,30,648,49310095,2
123,2638,2291,502227,1
124,12,605,30572974816,1
125,320,2210,551276760,1
126,270,390,3873480893,1
127,42,2224,7013654,1
128,1976,134,1878641701,3
129,37,0,36597555330,6
130,12,44,153277232874,19
131,0,27,2164180,2
132,677,901,100464134,1
133,105,937,397578321,1
134,294,416,53273316,4
135,66,0,3875878967,4
136,591,0,144481570,1
137,0,95,6366497,9
138,12,123,30572974816,1
139,28,67,99587617,1
140,3,1238,166022938,3
141,0,227,162000,1
142,278,14,197240000,1
143,2,1313,36109749,1
144,2248,3055,7639880,2
145,8,166,16173569718,3
146,12,512,529611660,9
147,1023,38,26005729,1
148,8,901,2613760411,2
149,12,2204,1528648740800,50
150,28,901,119057489,3
151,116,665,378871814,2
152,788,1312,658837431,4
153,12,58,16191929,1
154,43,2194,10060148,1
155,152,302,1688830,1
156,297,662,2392130380,5
157,1,2182,199981239,1
158,0,461,491349,5
159,15,52,53019996,1
160,12,148,122316924868,5
161,155,73,75235067,1
162,105,1370,381967323,1
163,1586,1089,12923924,1
164,105,351,2287102924,3
165,85,152,60792519,1
166,150,2344,1263983372,1
167,85,63,1562049844,24
168,927,648,1124412,2
169,3119,2187,48646001,1
170,1031,38,104100544,1
171,105,1143,10902857181,6
172,0,468,1314900,1
173,75,188,10001070,1
174,2267,894,1054731,1
175,172,12,925870000,1
176,1,2,799924956,4
177,150,665,56316977899,18
178,529,0,18198354,3
179,1044,95,1010165,1
180,38,61,3407857918,1
181,967,779,9700845,1
182,1683,1641,1024895750,1
183,547,2288,6080855,6
184,30,648,299932916,1
185,2,484,316016173,4
186,33,106,799979430,1
187,609,1128,42688568,1
188,484,244,9010555,1
189,778,2191,14443684,1
190,490,3065,42960000,1
191,25,2215,4022975707,12
192,12,126,347340866,2
193,89,428,34818455490,4
194,61,528,328367964,3
195,1050,152,7396342,1
196,12,2183,91791941454,7
197,105,461,380327760,1
198,0,1044,866500,1
199,150,56,10179722442,4
200,12,2109,26451407,1
201,32,467,5899762,2
202,520,665,39275597,1
203,105,297,271367728399,272
204,73,71,2000003,1
205,64,67,84499859,1
206,278,30,7475086525,54
207,0,2230,1215465,4
208,148,648,1039190608,1
209,0,225,385300,2
210,22,1732,32299801083,1
211,286,271,267545934,1
212,2,28,414354359,10
213,28,414,99587617,1
214,85,56,105012083,5
215,11,2201,231733182,1
216,313,2248,81683854,1
217,2360,105,273789352,1
218,278,385,177549729,1
219,1027,12,4980000,1
220,278,1058,83947494,1
221,2288,894,60980238,1
222,278,456,83947494,1
223,839,1714,508027598,1
224,2488,2917,296946128,1
225,1,155,68570247,1
226,14,564,71869853002,5
227,140,2,450757301,3
228,0,676,8830688,1
229,120,2,113156550980,88
230,56,3,121841627291,4
231,214,1089,173987570,1
232,61,431,2069618802,2
233,1047,95,29347110,1
234,8,1257,20309083880,2
235,279,1404,336040000,1
236,61,2807,9233542,1
237,56,1875,30860,2
238,113,2655,22455786,4
239,89,78,9028490017,1
240,839,894,76500594,3
241,14,2183,548280000,1
242,1099,2269,4597732,1
243,466,113,5279167,1
244,1350,575,256780700,2
245,32,896,4437966,4
246,879,1133,33613435,9
247,2277,0,15784180,1
248,12,2399,30572974816,1
249,126,662,716820719,2
250,148,894,830659960,2
251,150,3009,3107722090,1
252,13,278,40959513,1
253,43,662,49756008,2
254,2,1,12160813,1
255,25,44,1759634841,4
256,66,32,3973558815,2
257,66,103,1444694,1
258,370,2210,4292833,1
259,2,1734,12657562,1
260,56,227,228944052,1
261,1078,894,558862258,1
262,8,76,3602437547,1
263,196,73,24646961,1
264,30,188,7628750,1
265,578,37,6544618596,1
266,923,1603,75052290,1
267,196,276,14501587,2
268,23,67,54095385,1
269,14,166,999990000,1
270,61,545,64440000,1
271,1478,116,3258308922,10
272,12,461,436394075,4
273,526,2248,24150132,1
274,24,894,6547781,2
275,278,2131,83947494,1
276,1057,212,36804000,1
277,89,1478,20121252886,2
278,483,0,35716880,2
279,923,2183,100563884,3
280,0,884,11000,1
281,95,106,20402004,1
282,3,377,2419361,1
283,2,594,10394622,1
284,278,225,2220039272,15
285,12,61,27214158861564,873
286,69,2204,134295767427,7
287,16,0,7871426411,1
288,12,2589,45270422,1
289,2131,1,10511725,2
290,121,662,540915983,2
291,63,1061,40475250,1
292,121,2,114247773,1
293,12,1,146005766,4
294,38,0,1425033210,2
295,103,0,1461885,1
296,12,1168,330829025,1
297,609,2,18609000,1
298,56,152,83246616553,3
299,16,911,4002000000,2
300,436,0,30863844,2
301,155,547,29533371,1
302,8,13,8213165650,1
303,56,38,960914252337,27
304,38,1611,4411394851,1
305,300,2552,20233570,1
306,69,428,102963667045,5
307,554,735,19652669,1
308,1100,1635,391037585,1
309,0,499,17264180,1
310,369,12,247153038,1
311,105,206,217759286,1
312,484,2515,14429242,3
