,Source,Target,value,nb_transactions
0,12,892,183177546,3
1,61,1238,2024762,1
2,4,1603,50047752,1
3,11,2963,113848559,1
4,28,2176,10590452,1
5,193,291,301046832,1
6,12,3092,29456079544,1
7,56,2276,820239900,1
8,32,56,111190557,3
9,278,76,197240000,1
10,278,2248,6911262463,144
11,12,85,1355074185703,51
12,224,188,1767596,1
13,64,648,657929245,7
14,30,71,26480901,1
15,28,302,113319698,4
16,199,61,59303041760,9
17,59,1083,4048187,1
18,484,612,10334709,1
19,374,575,1884122396,9
20,136,188,11360692,2
21,923,1397,23400714,2
22,116,478,686815451,8
23,403,2185,9374316,3
24,63,12,1344735,1
25,73,56,104719652,4
26,1350,1083,266810900,1
27,1,1925,12166395,1
28,105,1734,307004441,1
29,12,1402,29456079544,1
30,148,2027,12799893461,6
31,56,1263,719740372,1
32,12,1728,107443143,1
33,33,38,6995520060,1
34,298,25,4689733721,1
35,1603,14,255878903436,71
36,12,154,29456079544,1
37,28,1641,587186877,29
38,2248,984,186955362,3
39,640,1221,1836300,1
40,2,2248,80927352,1
41,140,20,1059878601,3
42,226,2185,86001162,1
43,105,2497,407443037,1
44,0,675,1063545,1
45,11,762,947664960,1
46,2617,635,17771076,2
47,0,2294,95200,1
48,2738,894,308284840,1
49,76,1397,254926868,1
50,2248,2187,3080827139,38
51,605,467,10244669,1
52,44,428,100989063,1
53,564,19,90449011498,6
54,1391,797,29117969,1
55,61,2210,16067487860,5
56,3,2248,372787536,3
57,181,605,90840001,1
58,11,14,944595151,1
59,2,2,649985000,1
60,12,2215,59597766751,21
61,647,919,15702710,2
62,289,227,19044777,1
63,487,2368,2303435066,4
64,12,29,29456079544,1
65,36,484,912053,1
66,2,1083,1106605126,16
67,25,2363,345615564,1
68,278,1675,160681081,1
69,11,1139,980262810,1
70,2242,1089,8775558,2
71,302,11,4483610,1
72,1,362,8268950,2
73,2248,71,78586087,3
74,254,61,9899944545,1
75,38,2285,192649593,1
76,1372,2246,57448540,1
77,64,113,508596309,6
78,2,85,432647600,3
79,583,762,39223565,3
80,2360,56,16510015,1
81,25,1,1208372104,7
82,293,1603,1974277596,3
83,28,1478,2366979891,111
84,510,588,1123055154,3
85,374,1714,886653105,2
86,33,411,3145328350,1
87,64,984,717018726,2
88,582,294,8990000,1
89,531,1701,6053999,1
90,64,2,8884686746,28
91,12,138,265131852249,10
92,28,2,49000642530,3145
93,19,894,131831938,2
94,12,775,20129129,1
