,Source,Target,value,nb_transactions
0,438,984,14477427,1
1,148,839,77944915,1
2,12,11,18531548,1
3,286,86,53425473,1
4,12,1411,15694102,1
5,677,188,8410089,1
6,779,23,103222083,2
7,1023,73,3508980,1
8,464,1116,13539938233,187
9,644,1129,120660800,1
10,56,258,164693947256,1
11,162,67,132109992,1
12,217,12,313258306,6
13,1208,56,107908696,1
14,2,50,275821220,1
15,608,1111,5059694,1
16,2028,2210,25054860,1
17,1815,23,2349760,1
18,86,44,250752290,11
19,56,225,246539106526,4
20,169,665,3574409,2
21,105,132,9928078266,3
22,56,260,246661225194,3
23,2,1439,735501876,4
24,175,894,13524307,1
25,23,856,1154524,1
26,150,152,29844730982,16
27,162,374,155272517,3
28,38,915,5254565,1
29,25,113,312141844,2
30,32,44,6848928,5
31,0,430,1360815,1
32,54,376,5598165008,113
33,67,779,9727440,1
34,576,894,665038,1
35,30,132,129098933,1
36,162,20,2560821897,2
37,387,489,864170000,1
38,1931,143,129486361,1
39,329,1440,1170947,1
40,124,581,599954574,1
41,73,286,1106259,1
42,21,0,3130178,2
43,25,665,5046304623,12
44,0,762,1267134,1
45,1,461,5672698661,17
46,25,555,1605984001,3
47,2,44,24603930,2
48,278,132,213128358,1
49,2,466,20408360,1
50,1149,675,8908981,1
51,56,944,15430,1
52,114,894,16977208,1
53,12,44,340898453653,88
54,150,467,5836077558,3
55,2248,675,551637,1
56,0,3,2360912,4
57,12,1776,171157018032,53
58,56,957,73673529586,1
59,217,915,2955517,1
60,18,182,99100000,1
61,113,2187,798483,1
62,185,1457,39968360,1
63,481,2248,88870558,7
64,98,12,2459543,1
65,140,12,2762950424,6
66,298,2,13211401,1
67,150,821,1640934931,1
68,30,894,236279452,5
69,18,1478,445363211,25
70,3,73,1106770258,46
71,3,779,24060223,1
72,56,474,279392329838,1
73,8,936,4341252522,2
74,140,73,623820611,4
75,1775,850,1795405,1
76,104,188,2517534,3
77,678,564,4662757,1
78,8,1288,4522106605,1
79,11,5,1758574540,2
80,86,665,24321889,1
81,12,484,134482854,3
82,677,0,182320435,5
83,12,1641,110237897455,101
84,12,3055,16845238,1
85,0,2041,39344624,3
86,8,2131,13830357783,3
87,56,2185,865748362496,15
88,11,1440,563913587,1
89,14,121,428113163,1
90,44,105,86850513,15
91,0,342,26892732,2
92,14,2329,856226326,2
93,555,2,13452540,1
94,113,54,9940415,1
95,278,2408,124545882,1
96,46,894,126078544,2
97,116,56,99963341,1
98,86,984,525851181,16
99,1,564,680087624072,131
100,2314,984,52519382,1
101,428,1008,8001128,3
102,394,870,3582124,1
103,2,67,130592016,1
104,2314,56,1863591801,5
105,4,984,23870769,1
106,478,82,1928393,1
107,116,762,133052098,1
108,2131,896,2025182,1
109,5,1,54272063,10
110,278,907,213128358,1
111,278,102,135009039,1
112,8,2276,4549544056,1
113,796,148,517512764,1
114,8,438,404693538,1
115,12,102,16948924,1
116,29,1603,1489289,1
117,82,984,172023580,6
118,2,32,8440923102,60
119,178,1,101907415,12
120,1008,894,8061300,1
121,478,67,109970620,1
122,266,901,19999732214,2
123,374,73,1637397165,2
124,1992,894,25190295,1
125,8,158,5686955448,3
126,799,1397,26109499,1
127,273,2210,2077630600,1
128,30,2210,2577259561,3
129,120,665,19479562,2
130,150,428,5358954744,8
131,1445,2183,22245580,1
132,113,296,1516056,1
133,262,770,372780640,2
134,374,98,1911475042,4
135,1570,387,49999920000,1
136,3084,20,754132019,1
137,178,0,88573611,7
138,1061,984,42334862648,10
139,56,1233,490993249360,4
140,105,2,6618718844,2
141,56,901,3440713419927,31
142,12,14,37141117,1
143,32,30,1165389,1
144,124,2210,453925121,1
145,1773,2210,36282867,2
146,1628,648,27300,5
147,148,227,182902353,1
148,2131,23,134308716,2
149,25,648,2362710128,7
150,38,105,768300512,15
151,278,2191,639385074,3
152,261,2248,9669313,5
153,12,2291,18369407,1
154,2,56,10263437095,126
155,12,648,43043025342,7
156,2127,376,16906337536,16
157,116,140,99032392,1
158,2,891,2050000,1
159,11,302,592439950,1
160,12,0,4036612399382,2150
161,444,56,172132345,3
162,38,984,64816364765,10
163,12,2362,29716097,1
164,105,1779,3309359422,1
165,2929,418,2765581536,2
166,2,374,655599935,3
167,82,296,4903444,1
168,374,259,1178846934,1
169,0,32,11758697,27
170,12,894,225473104984,519
171,76,648,260919658,1
172,411,132,42319693,2
173,1,252,8616286,1
174,148,246,499940600,1
175,376,10,5000088,1
176,12,909,21050893762,1
177,278,1641,1065555277,6
178,140,374,274710457,1
179,5,188,5965584,1
180,2248,1,61028790,3
181,1,813,1342603994,1
182,11,2131,297529691,1
183,278,82,270018078,2
184,534,244,57354570,1
185,25,2363,1516389429,2
186,0,18,5736637,2
187,549,188,809171,1
188,2,67,84669855,3
189,2,1776,9912169926,6
190,607,2210,20968360,1
191,12,662,1248358783,14
192,52,564,144330243,1
193,839,2215,1119349,1
194,535,188,4803798,1
195,8,227,28691200947,9
196,59,98,6391535,1
197,18,73,1033953220,55
198,56,1,2104911675540,20
199,98,0,2163851,1
200,273,2246,7826200,1
201,148,1083,117133016,1
202,770,1628,10920,2
203,12,597,22618832,1
204,12,2,1024115457138,139
205,866,648,3862031108,1
206,359,2186,1669640855,3
207,844,2810,6838182,1
208,1,1714,11371163205,7
209,2248,44,33575491,3
210,1628,23,27300,5
211,18,2191,20449098,2
212,86,105,1331204731,18
213,38,581,1969255,1
214,2,386,17485017,1
215,607,0,8473160,2
216,56,13,61133562740,1
217,23,86,123992489,4
218,51,276,96515478,2
219,23,665,114829541,2
220,116,56,504178439,7
221,525,141,31980004,7
222,1,648,94080086109,48
223,57,410,9247020,1
224,38,901,9531869751,1
225,2351,2,30059765,1
226,278,1472,213128358,1
227,61,464,1768391,1
228,12,2027,56883721,3
229,268,67,1557037,1
230,374,82,589904392,2
231,0,1621,4561368360,1
232,23,272,95018556,1
233,568,648,11073540,1
234,374,12,10284013481,22
235,517,0,20557690,5
236,222,132,2048061142,7
237,56,103,84765757667,1
238,86,82,47251161,1
239,150,2210,16798548535,9
240,1701,995,81456512,1
241,30,461,204757890,3
242,63,56,176652146,7
243,56,155,2367988355049,28
244,57,2210,1583840,1
245,0,1143,162733,1
246,3,821,72180669,3
247,12,2367,21116908,1
248,162,0,622837341,4
249,374,656,49722544,1
250,60,1641,104233224,4
251,38,12,95385523616,22
252,2,23,287198035,7
253,11,23,1715870929,2
254,401,188,9128027,1
255,252,193,4082731,1
256,12,529,70447766,1
257,30,1288,999798636,2
258,30,148,971573190,6
259,755,185,4731485,1
260,44,374,1952337,1
261,150,44,1398543935,1
262,1611,894,80890943,3
263,268,662,17321150,10
264,163,2194,1401945,1
265,2248,113,591922451,44
266,0,219,3127615,1
267,5,0,10865489,1
268,12,2372,21050893762,1
269,380,115,7022880,1
270,152,564,4961315,1
271,14,227,856226326,2
272,244,675,15949783177,42
273,20,3067,1155050823,1
274,62,85,4580000,1
275,76,1641,548345296,2
276,64,56,10350459996,35
277,140,2230,923775960,1
278,229,2194,617908,1
279,23,2182,77032222,4
280,148,1107,5213926384,1
281,140,98,56215856,1
282,1039,2224,8813456,2
283,11,2,106459655873,192
284,2248,2246,229658716,2
285,13,2363,3000022,1
286,1,1397,49178684029,39
287,2,278,103572957,8
288,56,101,1497638595991,14
289,38,2500,573339375,2
290,46,0,3435769317,52
291,3,2182,144361338,6
292,528,2210,245972456,1
293,8,222,4551909781,2
294,12,2193,9310000,1
295,2,648,6923543405,45
296,124,2,599955177,1
297,38,821,57017,1
298,116,2187,99939811,1
299,86,2,132172079,6
300,12,273,21050893762,1
301,32,56,2885340,2
302,13,675,34275389,1
303,778,112,1500906479,1
304,478,1882,97630407,1
305,113,555,414844723,1
306,1008,1076,112274115,2
307,14,1714,428113163,1
308,1358,376,6181000,1
309,2582,375,2162020,1
310,30,101,13605984,1
311,0,102,62760,1
312,47,2246,4298259,1
313,20,1051,2152155818,1
314,168,44,26807559,1
315,432,2248,26774100,1
316,162,772,161183726,1
317,1,2182,637827595750,206
318,113,95,142499142,2
319,29,467,1163994,1
320,102,2210,21261573,1
321,680,228,20173271,1
322,551,2228,13829417568,2
323,12,166,42101787524,2
324,30,188,10457258,2
325,140,148,1066396743,1
326,1033,675,951775756,1
327,25,0,1429518,1
328,534,12,114186083,2
329,176,2210,8406072,1
330,555,0,13452540,1
331,140,20,2651952046,3
332,525,901,132072580,24
333,220,105,159700,1
334,98,2,3632478,3
335,29,2185,4113382,1
336,856,2210,1523726,1
337,340,894,2330862107,29
338,105,2,4982376,1
339,866,2248,19539381358,2
340,2248,63,661575674,34
341,14,321,428113163,1
342,44,188,2756322,1
343,76,244,240266568,1
344,11,2549,606354493,1
345,56,43,58573009465,1
346,11,16,867780110,1
347,596,56,15168331,1
348,12,2228,1136748263148,54
349,23,901,444014492,10
350,12,163,21400691269,7
351,2131,226,1107531,1
352,2,2309,1420960,1
353,0,128,8585960,1
354,12,5,419046193,16
355,1683,60,379435946,2
356,1,735,22842932,1
357,1,2210,25799956876,16
358,132,137,228755758,1
359,0,2228,18307528,2
360,805,894,29532043,1
361,821,2,2468637,1
362,30,662,73900770,2
363,83,282,15188880,1
364,1,23,20243761516,6
365,3,323,24060223,1
366,11,581,89643998,1
367,64,19,114952843,1
368,304,1071,6000000000,7
369,856,227,99962428,1
370,1,1,354745107867,149
371,278,323,213128358,1
372,278,2215,426256716,2
373,2929,44,13827907680,10
374,44,464,1540460,1
375,11,357,5442801,1
376,2,1942,26545800,1
377,67,20,77979603,2
378,56,4,452408402282,2
379,98,984,99984180,1
380,20,803,124794138,1
381,432,984,80322300,3
382,0,340,14559533,3
383,155,839,64858015,1
384,1,60,25766745,1
385,81,56,4291229,2
386,1,12,39226519695,18
387,413,2246,6954727,1
388,2929,0,521242567173,377
389,113,2182,2140000,1
390,20,2913,593777169,1
391,113,56,217742718,4
392,653,0,1211285,1
393,749,12,569940000,1
394,25,5,246612806,1
395,529,2,11307765,1
396,76,1214,591358006,2
397,158,1,99949400,1
398,12,607,63152681286,3
399,403,0,650000,1
400,27,82,28564927,1
401,737,2210,2410007,1
402,2723,1540,375990815,2
403,619,894,85330960,1
404,113,193,490000,1
405,8,1457,37282885497,7
406,6,2610,61307976,1
407,2248,2305,38235756,1
408,411,61,1769673,1
409,150,2,68673460778,41
410,152,2913,302461222,2
411,66,675,999954600,1
412,12,2638,239498527,2
413,12,386,246001744,2
414,374,32,791418032,3
415,268,2210,2924405656,4
416,59,0,27707642,3
417,0,1047,1999924,1
418,18,56,223174401,12
419,1,152,42787516373,49
420,116,662,602875662,7
421,150,1083,1313486397,1
422,286,154,1968912036,1
423,1229,796,330702400,4
424,180,444,6299931960,2
425,150,38,12502563642,6
426,14,971,428113163,1
427,56,163,19313524416,1
428,5,2,55840389,6
429,278,2636,774394113,4
430,51,29,5787,1
431,1875,442,15430,1
432,105,299,3309359422,1
433,405,56,28479421,1
434,293,850,153896458212,6
435,374,114,1033771349,2
436,3,2210,120301115,5
437,32,627,1109380,1
438,8,0,110433720404,37
439,38,152,71664107,1
440,778,23,1099628676,2
441,102,0,1091260313,2
442,23,2,112159858,2
443,21,894,7070484,1
444,2884,188,13748022,1
445,154,2,456962880,1
