,Source,Target,value,nb_transactions
0,139,2362,303008250,1
1,79,2636,8525187,7
2,105,152,3269002600,1
3,12,564,627061598602,10
4,2484,110,63273098,1
5,190,2246,569712,1
6,0,431,171318391,1
7,229,11,16134878,1
8,83,1920,6003240,4
9,1313,452,889161072,1
10,71,2210,115781994,1
11,126,762,56102017,1
12,291,129,11755918,1
13,105,504,4958951784,9
14,1908,382,201380000,4
15,12,1776,1246232473790,59
16,200,1089,113927582,1
17,2,677,9036847047,4
18,88,55,720895597,1
19,150,268,5072116008,1
20,588,105,69382552,1
21,486,2206,31583348,3
22,365,1457,162690932,3
23,982,61,455705497523,165
24,833,146,128850000,4
25,56,940,1027409,1
26,352,2210,117102301,1
27,2206,12,517969910,4
28,1050,2636,15808116,1
29,1285,12,5270007,1
30,322,13,7612822,1
31,540,16,622160189,2
32,257,30,252893451,1
33,55,1362,3398899910,1
34,330,2248,2381108,2
35,12,475,69024807295,1
36,1921,376,32374174,2
37,55,590,3398899910,1
38,2,575,5691798451,5
39,11,319,10273205,1
40,561,575,13025104,1
41,1560,533,11684304,1
42,12,62,399990000,1
43,12,365,28805190859,8
44,159,1089,34990000,1
45,132,1776,1323130947,3
46,150,55,7644470202,2
47,132,850,14435625086,5
48,278,28,819115941,6
49,164,1457,15791859,1
50,2329,75,1771492,1
51,185,38,724290000,1
52,33,2210,20416991,1
53,10,2246,8843364,2
54,257,16,604943043,3
55,12,1732,552198458360,8
56,12,1714,69024807295,1
57,11,2544,11221723,1
58,61,2246,2124869028,4
59,55,120,3398899910,1
60,53,30,3944373,1
61,112,2367,38015220,1
62,12,56,5247013,2
63,61,2323,6255663649,2
64,466,12,15830000,1
65,0,44,2685496911,15
66,347,56,7103505,1
67,150,2876,2524926475,1
68,43,37,121241553,1
69,105,299,453939402,1
70,55,149,3398899910,1
71,116,1353,2035676340,3
72,12,215,45304319,1
73,182,38,9999900000,1
74,1183,576,354187429,1
75,0,2141,6639723241,34
76,182,365,18206514026,2
77,41,2652,10551161,1
