,Source,Target,value,nb_transactions
0,374,520,610375059,2
1,8,1149,16551370557,2
2,1061,2,1910661818,1
3,11,1397,2598274018,6
4,152,894,577749201,43
5,2248,638,2115782078,17
6,105,665,122493318916,139
7,212,919,24183111,1
8,124,894,599935020,1
9,2248,1,6871255474,125
10,113,44,137163170,6
11,2,902,53262643,1
12,105,2610,1188558859,1
13,105,2543,757509210,1
14,23,2305,2270168620,7
15,278,302,686225611,2
16,226,665,7474640,1
17,25,23,369597001,1
18,105,158,828341208,1
19,32,188,8790185,1
20,778,99,6043957534,9
21,2248,984,597388345,9
22,821,648,1381743,1
23,492,464,88622940,2
24,1,20,17801035,1
25,18,2185,65448728,4
26,434,665,114718619,2
27,71,467,158083260,1
28,278,2381,227359940,1
29,13,675,1206040,1
30,66,56,999954600,1
31,2248,575,2301928746,25
32,82,56,662911805531,4
33,517,984,2392266,1
34,796,188,43816649,2
35,0,618,215280,1
36,426,662,7266503,1
37,156,0,1679073364,1
38,1,103,97682635,1
39,0,21,79654777,31
40,20,148,30359872302,11
41,305,905,4019313,1
42,801,190,23007714,1
43,2248,2230,32460975,2
44,76,467,1014951602,2
45,64,23,1464354837,4
46,374,894,1220523560,2
47,29,148,10957162,1
48,12,821,22817869310,1
49,374,1053,1220795184,3
50,1,1641,58313253410,97
51,795,2248,338618690,1
52,38,2363,3824760131,2
53,297,1,662592002,7
54,6,105,332792427,6
55,11,1641,80733603,1
56,411,2185,7725092,1
57,105,1714,6298082934,9
58,268,376,25140082,4
59,56,2185,301746874839,4
60,376,1035,18685112,1
61,278,1723,312027727,1
62,113,12,5028953,1
63,152,662,273796,1
64,2257,374,11949058,1
65,1628,0,16380,3
66,2191,0,5382880,1
67,105,168,574274380,1
68,11,38,1297774584,2
69,56,2223,67910996074,2
70,13,0,288649639,20
71,777,1010,304240270,1
72,67,20,833286839,6
73,150,105,257262751,1
74,12,23,1010063971,1
75,2,894,17541328457,10
76,56,148,4881109878644,75
