,Source,Target,value,nb_transactions
0,61,302,13887698575,4
1,55,1928,1294543420,1
2,222,12,25826568,1
3,55,1776,3806665264,36
4,14,118,2237445,1
5,113,1126,48272627,1
6,223,80,42850000,1
7,278,362,54432478,1
8,28,466,143425695,1
9,112,2367,10368627,1
10,21,29,61498471,1
11,104,1986,599135619,1
12,112,1435,29259869,1
13,0,95,16102041,1
14,41,12,5327000,2
15,28,1410,471142307,1
16,487,95,1511898,1
17,107,11,12329877,1
18,61,1257,58021396390,7
19,1107,607,556391901,2
20,12,1910,14923923642,1
21,12,2527,14923923642,1
22,512,198,37000000,1
23,664,137,104961258,1
24,257,324,454951860,1
25,23,0,122666597,1
26,19,2,15635271068,1
27,12,1520,139351588,1
28,2,272,12853675,2
29,278,2634,3124777150,20
30,150,940,5590998164,2
31,120,152,2515240865,1
32,12,109,354100398,1
33,95,2206,5272740,1
34,1620,12,406709660,1
35,278,414,1035814222,7
36,85,12,61373232,1
37,2484,537,168371118,1
38,28,494,170704258,1
39,278,2538,244487387,2
40,1807,512,743782190,1
41,12,1467,7417151710,1
42,37,93,20114501,2
43,12,2636,1068611901540,122
44,116,76,1319354293,1
45,2027,575,299970763,2
46,12,669,10644818080,1
47,278,2505,1597481606,9
48,278,148,357263552,2
49,145,28,616419048,2
50,12,24,59647190696,6
51,442,322,42217692,1
52,235,762,4709970000,3
53,105,3031,495520569,1
54,128,225,29294356,1
55,119,65,71289658,1
56,12,1239,14923923642,1
57,116,512,2689390570,2
58,2636,1411,5362063,1
59,2634,2229,700353570,6
60,279,564,29841040,1
61,263,762,9621000,1
62,1107,420,2843190000,1
63,2,225,128658421,8
64,1058,2210,29423751,1
65,12,946,83741918642,2
66,2,2315,5846193,1
67,44,340,16942650,4
68,12,2003,68817995000,1
69,28,304,18589233,1
70,71,58,1083242,1
71,41,2622,4974000,1
72,40,1776,5092937,1
73,785,2193,1018971198,1
74,278,3017,457452691,2
75,2,665,75846975,5
76,239,665,2406107,2
77,2636,1752,2931350,1
78,226,0,13856308,1
79,64,103,1009370891,2
80,12,93,655161990,2
81,35,1522,399855402,1
82,257,2554,868490720,2
83,11,430,16718700,1
84,752,442,9870000,1
85,1313,1440,2000000,1
86,86,138,6679934,1
87,12,879,414787216,1
88,893,62,1799990000,1
89,2741,923,1457725,1
90,2027,93,2930978660,4
91,61,1119,19322712452,3
92,113,332,124114014,1
93,105,454,1164870981,2
94,2759,1397,1198191,1
95,910,141,64953420,2
96,225,105,1256868,1
97,7,0,89533181,4
98,12,924,68817995000,1
99,278,233,57322552,1
100,281,2634,1594834,1
101,39,52,76207060,1
102,12,502,175676441,1
103,1098,2141,178374,1
104,58,12,70089414,1
105,12,342,374805930,3
106,325,24,21504600,1
107,105,12,23049757819,27
108,45,16,31205450,1
109,529,984,13024474,1
110,376,1466,440497589,10
111,278,372,414974906,2
112,257,512,34184562240,84
113,795,62,49990000,1
114,11,613,2935200,1
115,4,2541,75399960000,1
116,263,417,118634067,1
117,28,2180,8797806,1
118,278,1466,1546872831,9
119,12,762,1193603044509,122
120,2267,113,1017777,1
121,56,984,1010580462,12
122,749,102,167120000,1
123,28,818,8797806,1
124,1,1214,11399990000,1
125,41,94,2375000,1
126,616,270,182471751,1
127,487,16,1511898,1
128,278,461,1371653482,9
129,14,2,2519588986,1
130,317,504,566416,1
131,149,762,1489902309,2
132,2636,667,67488168,1
133,17,12,25908318,4
134,28,218,153909,1
135,1660,90,2411069990,6
136,1622,2206,1330438,1
137,0,827,9231807,1
138,376,2210,8959870679,43
139,108,2405,148907729,2
140,12,1541,14923923642,1
141,2027,2210,4862050936,2
142,487,1752,1511898,1
143,73,391,2418140,1
144,28,375,27996122,1
145,278,1906,120205784,1
146,121,28,1786451096,5
147,105,85,11193470715,14
148,481,0,140186840,2
149,12,235,234892862,1
150,40,272,2965077,1
151,340,323,2628313,1
152,64,1062,2266430,2
153,227,330,31304299,1
154,613,380,31991460,1
155,28,44,8498923,1
156,369,1517,4613237,1
157,55,663,1294543420,1
158,12,2629,25568741722,2
159,114,465,37355410283,5
160,2636,489,1035715514,5
161,182,785,11512629199,1
162,214,2636,2420000,1
163,278,355,229616192,2
164,40,73,31394839,7
165,44,2206,98398902,1
166,56,316,74135241,1
167,278,2663,192914041,1
168,28,2315,170704258,1
169,345,798,514968993,2
170,278,286,127584571,1
171,1020,2206,124525935,2
172,102,12,305092000,5
173,113,1776,164594094,5
174,11,1005,27808700,1
175,55,359,1294543420,1
176,293,478,18284498,1
177,73,1083,6132019,1
178,12,2953,68817995000,1
179,1130,1281,2013262257,1
180,39,3079,38904618,1
181,55,1086,1327173617,2
182,199,353,53699980000,2
183,116,2636,2677385604,6
184,451,2210,492710666,2
185,105,2178,859424274,1
186,105,893,2159862049,3
187,12,1272,455969126,1
188,257,109,454951860,1
189,105,0,174445035868,203
190,2,323,2415339275,7
191,64,146,415217205,3
192,2027,382,299974887,2
193,401,2245,9656061,1
194,105,2497,719808677,1
195,75,2,16738466,12
196,940,116,80000,2
197,2027,1440,199988159,1
198,278,1435,192914041,1
199,38,369,37905755233,1
200,43,2210,17371366,1
201,12,295,360724639,1
202,105,1297,305446707,1
203,278,2982,414974906,2
204,2,552,243009647,4
205,56,762,472176312,3
206,2581,82,199990000,1
207,0,73,481981,1
208,27,0,388589208,6
209,278,1744,324566356,2
210,382,1603,352740049,1
211,12,2177,15063275230,2
212,88,1107,1384624439,1
213,20,119,118909769,1
214,304,762,5340526,1
215,257,4,1241293580,3
216,207,28,690053,2
217,512,12,4071757,4
218,889,299,69973295,1
219,11,2636,1632983,1
220,278,20,254373478,2
221,105,2210,277860939158,274
222,263,100,110149132,1
223,1107,529,139990000,1
224,494,28,3523064,1
225,13,1313,116771483,1
226,1107,2323,2103385059,1
227,792,2187,57674444,3
228,62,113,11440840,2
229,110,11,36814516,1
230,150,105,3086341804,1
231,51,118,185620153,1
232,28,47,7576124,1
233,75,1687,320107706,20
234,11,2,3975600,1
235,28,1376,36613565,1
236,323,478,60147602,3
237,30,231,3297673736,10
238,3051,105,7771721,1
239,278,1107,1249634513,7
240,28,189,8797806,1
241,922,2210,500382540,1
242,116,0,20052769838,38
243,71,12,140605640,2
244,1257,2210,4316186382,1
245,12,1019,7417151710,1
246,12,0,455969126,1
247,1075,1776,5094000,1
248,55,323,12061562815,18
249,105,2550,2711229656,4
250,27,2625,64764868,1
251,12,2638,293763789,3
252,150,709,3086341804,1
253,60,12,2144299824,1
254,12,114,226325556,1
255,247,1752,97826895,14
256,257,775,1241293580,3
257,505,1,26147900,1
258,1257,270,21800875,1
259,56,225,21293392,1
260,105,2805,1439617354,2
261,119,11,203789049,4
262,113,12,10861649,6
263,297,2372,99990000,1
264,353,607,6066091873,1
265,28,1466,74330118,4
266,276,2405,100449797,1
267,2410,2636,369146,2
268,12,32,508228401,1
269,28,2230,9575297,1
270,88,105,1384624439,1
271,1050,529,76663110,1
272,4,330,162328,1
273,177,762,306862821,1
274,461,1919,160007214,1
275,121,43,438396345,1
276,257,1305,16429501400,40
277,278,283,57322552,1
278,270,2441,57527627,2
279,55,2433,3898779078,4
280,485,2424,72029029,1
281,28,85,320666079,24
282,47,53,43002602,1
283,35,12,400985402,1
284,1231,1311,2562582,1
285,119,998,44000000,1
286,239,1281,1770463748,4
287,278,304,3096078582,21
288,12,241,14923923642,1
289,28,1752,2198199328,52
290,38,37,40094307432,3
291,257,879,827754720,2
292,28,1457,812237314,1
293,55,1603,1294543420,1
294,2027,231,2531013627,2
295,83,2372,74583725,1
296,48,2636,5310770000,1
297,105,1024,419066309,1
298,12,1603,24713077356710,360
299,278,101,357263552,2
300,2,1983,8965893,1
301,73,2291,10000,1
302,225,2634,4989900,1
303,278,311,291621017,2
304,278,782,169336161,1
305,487,12,19462473,1
306,1112,414,2800000000,1
307,55,442,1395177914,2
308,0,56,48398107,4
309,12,2218,10644818080,1
310,71,323,3283107,3
311,1313,105,1358734072,3
312,795,2206,99980000,2
313,231,37,118382375,1
314,398,28,1068374,3
315,2,1313,288051763,19
316,2,102,7116910,1
317,41,299,4974000,1
318,785,2871,8161204,1
319,2,1776,928007727,22
320,958,28,99995000,1
321,323,132,40118030068,2
322,590,56,30984897,1
323,38,1757,1106519342,1
324,43,437,48885284,1
325,11,1457,6497709,1
326,152,11,3559550765,3
327,12,24,397008400,1
328,28,2474,38947824,2
329,1921,376,27926852,1
330,270,501,199130494,6
331,1195,762,4801420000,1
332,12,613,14923923642,1
333,183,2046,48892833,1
334,12,21,71000290,1
335,797,2,10871836,2
336,12,3091,68817995000,1
337,2027,30,2431025468,1
338,273,146,135200000,1
339,12,232,941853522,1
340,1924,131,24656660,1
341,278,116,1079749952,7
342,12,552,2089884820,1
343,270,1313,359299492,7
344,1,1281,4099990000,1
345,2636,2953,40175892,1
346,45,304,233736268,2
347,278,2141,36490712381,237
348,12,2782,137635990000,2
349,2,942,121231790,3
350,340,44,313821875,4
351,278,532,38333291,1
352,512,75,4540000,2
353,504,2210,58047499,1
354,85,93,28389737,3
355,481,2907,37358949,1
356,216,912,31700821,1
357,93,1692,1278125800,14
358,55,37,2836607890,6
359,406,11,61835386,1
360,223,1479,43075193,1
361,41,1756,3415000,1
362,249,949,417481674,4
363,76,2636,9000836,1
364,360,75,11316936,1
365,85,2634,80866900,1
366,28,2628,16183279,1
367,12,434,314030077,1
368,28,665,202429552,16
369,2516,360,26237848,1
370,55,447,32630197,1
371,231,1043,3913112,1
372,11,532,6597753,1
373,1,867,99990000,1
374,795,37,49990000,1
375,270,1983,51080114,1
376,41,2187,2952000,1
377,56,2550,820472022,2
378,1313,227,2241105,1
379,28,1042,8797806,1
380,28,2206,540801479,1
381,1457,2210,204197950,1
382,48,1776,5225507070,1
383,2,984,283515959,10
384,1049,313,18497944,1
385,362,1752,20618506,2
386,60,103,2344378050,1
387,268,1083,8111867,1
388,1083,2011,25023023,1
389,575,504,4065300,2
390,376,639,11647300,1
391,12,2267,504287751,2
392,116,2295,151959543,1
393,348,1917,15661854,1
394,414,22,6678003921,7
395,1608,105,50098853,2
396,25,113,14823,1
397,2793,2229,75158112,1
398,278,254,212910729,2
399,11,1106,61869397,1
400,323,489,1420126218,2
401,12,61,27736995945000,404
402,12,705,421346214,1
403,268,2050,132503412,2
404,12,2795,68817995000,1
405,1130,152,636255284,1
406,28,581,207498186,3
407,2876,227,44434441,1
408,2206,93,4232321,1
409,55,2206,32630197,1
410,38,268,13308627996,2
411,0,1397,2117813,1
412,12,953,15405043331,2
413,246,2405,86641268,1
414,79,12,29207000,1
415,257,237,372802860,1
416,2131,2245,13978897,1
417,150,89,3086341804,1
418,105,38,3012936720,9
419,239,1329,1169000,1
420,28,2246,330719880,1
421,257,1251,372802860,1
422,2393,11,2010404,1
423,278,17,89127762,1
424,12,1466,31358321355,8
425,56,2,9487482,1
426,105,55,41052693718,21
427,5,2,6491987,3
428,512,11,174805341,2
429,12,204,40671883,1
430,105,293,8606731155,5
431,257,782,413538860,1
432,17,0,181006374,2
433,105,94,8435326203,4
434,278,2270,15387270001,92
435,2603,28,611006,1
436,2,2601,5334240,1
437,273,1311,17419559,1
438,116,2133,496045726,2
439,80,762,2438430000,1
440,105,1058,719808677,1
441,1126,113,46315241,1
442,270,75,76699221,3
443,650,12,149010000,3
444,2651,270,21458168,1
445,278,82,60930030,1
446,442,1107,31832557,1
447,12,772,40671883,1
448,1171,385,83313317,1
449,12,79,750349302,4
450,28,12,3515823386,83
451,28,61,9575297,1
452,270,3085,31492124,1
453,12,1264,68817995000,1
454,458,1777,64492975,1
455,38,655,72037224,1
456,2027,11,2311257781,3
457,55,1752,1555584996,9
458,105,475,419066309,1
459,28,311,17445823,1
460,231,121,115428364,1
461,56,1313,498708059,2
462,55,426,32630197,1
463,198,762,2864585223,7
464,105,414,3603437668,3
465,278,531,457452691,2
466,257,1106,1241293580,3
467,12,457,190529123,1
468,268,113,822100,1
469,512,2206,1050068,1
470,278,16,3148381658,22
471,1947,762,51697710,1
472,103,1360,12086329,1
473,270,2210,259030251,9
474,479,1776,8573388,1
475,2027,2,3712558836,2
476,28,2279,7921674,1
477,225,382,3000002,1
478,11,382,12435039,1
479,278,225,8376004892,54
480,12,1,125587748,3
481,12,478,69009823307,4
482,49,28,91980000,1
483,195,2242,171840965,1
484,105,712,3890421814,7
485,278,63,94994393,1
486,55,698,1385673748,2
487,82,116,7330913,3
488,721,11,6311400,1
489,177,27,94023468,1
490,250,24,1470030213,1
491,278,30,7046656802,45
492,12,1397,306787147205,60
493,626,218,344599,1
494,12,154,68817995000,1
495,23,762,278287532,1
496,0,665,19682140,1
497,1,772,27499990000,1
498,28,2636,2240361075,97
499,85,444,93040,1
500,113,501,1374468,3
501,12,1620,586276438,1
502,64,113,220317706,1
503,1050,1313,153326220,2
504,427,2291,13324551,1
505,227,29,2959526801,1
506,87,2636,299950000,1
507,1235,2416,50068614,1
508,31,490,62486189,1
509,278,504,28483061498,171
510,143,762,295333218,2
511,88,762,1384624439,1
512,278,101,325820508,1
513,115,12,86545000,7
514,2711,2210,254873262,2
515,239,61,3867630276,12
516,56,2206,1900269231,6
517,39,337,68429611,1
518,177,12,319381000,1
519,9,1648,18856305,1
520,75,613,5189520,18
521,12,69,56116634,1
522,278,416,371252000,2
523,55,1313,12005645785,47
524,552,12,12041834,1
525,28,1214,224552501,2
526,893,71,25462093,1
527,257,1962,1241293580,3
528,2,386,8070045,1
529,55,1285,32630197,1
530,189,115,88134792,3
531,1882,762,70290024,1
532,1475,1159,637095,1
533,278,2643,64107815,1
534,16,56,999990000,1
535,428,2372,431462283,1
536,93,762,460090000,1
537,416,2978,49181320,1
538,21,376,1064949026,18
539,23,412,104603534,1
540,13,12,39700000,1
541,14,55,5040550133,2
542,923,2741,6567783,3
543,55,2187,1294543420,1
544,867,762,138422393,1
545,479,1083,44005568,2
546,86,268,6679934,1
547,227,762,5941310260,4
548,2636,231,73870189,3
549,461,2027,77642678364,42
550,52,11,852504184,1
551,1,2094,34708213,3
552,1014,1371,10281774,1
553,278,72,143560240,2
554,86,504,12838390,2
555,150,1313,10600310884,4
556,45,2255,65994082,1
557,2541,762,10000000,1
558,2,753,433815076,1
559,2554,1752,3878107,1
560,270,1604,34716920,2
561,55,250,1294543420,1
562,2,113,841942742,33
563,12,2824,68817995000,1
564,61,982,1271082682953,22
565,330,239,1064178,1
566,2,327,35701667,2
567,104,685,389280393,1
568,44,478,27801760,4
569,3094,2133,550596,1
570,410,2246,15222173,1
571,74,283,63490000,1
572,257,1397,1904750300,5
573,986,105,11752650,2
574,2,2885,66120606,1
575,28,394,17445823,1
576,12,118,429943672505,75
577,64,222,5917738,1
578,529,227,21068068,3
