,Source,Target,value,nb_transactions
0,135,0,4218330,1
1,12,499,420372504,1
2,12,2552,1818437660,1
3,43,762,721897737,1
4,2652,21,88450813,2
5,278,506,575902805,2
6,481,494,29549144,1
7,2479,426,30404051283,2
8,502,2576,84345531,1
9,85,2344,468717,1
10,2152,762,1763550052,1
11,12,1251,420372504,1
12,183,304,169559132,1
13,198,509,250142612,2
14,13,270,599386971,1
15,28,376,924040746,1
16,38,560,9247046786,2
17,95,386,43626760,1
18,85,382,11469949,1
19,95,391,52470000,1
20,270,1313,11678249,4
21,0,2133,656634,2
22,529,1107,37085595,3
23,2,227,13476420,2
24,72,12,403543,1
25,924,504,6055215,1
26,85,129,73123643,1
27,14,762,6291749166,2
28,11,73,28747148,1
29,105,1024,1621158515,1
30,2859,1947,7136997,3
31,79,589,79184334,1
32,1053,984,9998296,1
33,340,762,115292518,1
34,195,11,3582525,1
35,289,2636,28495802,2
36,12,2041,3064678272,7
37,564,38,41408256,1
38,31,1776,2211414739,2
39,382,652,299276473,1
40,104,2263,271410762,1
41,38,621,9999990000,1
42,12,484,10086542438,1
43,2603,28,559220,1
44,75,133,4220058,13
45,56,76,1598517,1
46,225,880,2291445,1
47,11,250,136958900,1
48,590,984,19991000,1
49,1356,406,14143425,1
50,119,231,70384000,1
51,13,2636,125158000,1
52,12,1107,227277064214,16
53,1882,762,129845572,2
54,214,2233,3985000,1
55,382,2206,1134149,1
56,28,437,2171871862,2
57,127,1440,20028138,3
58,330,939,1054888,1
59,2007,827,212720000,1
60,105,2634,1621158515,1
61,55,743,19990000,1
62,149,2210,39990000,1
63,278,2601,666562676,2
64,2233,833,151007546,1
65,105,1731,549835472,1
66,644,2,94076762,1
67,1592,102,158650000,2
68,0,2187,313322,1
69,130,113,33567371,1
70,441,12,20665412000,2
71,162,239,98508313,1
72,12,2541,179949609283,20
73,278,486,669122568,2
74,270,2636,10425431,4
75,2267,119,2000000,1
76,128,225,109964212,1
77,328,0,99990000,1
78,11,484,100001000038,1
79,353,1603,24305638124,12
80,268,768,9400247,1
81,2047,28,5630907,3
82,1305,36,6000000000,4
83,18,2,87173958,1
84,278,984,64039950684,136
85,278,138,501174508,2
86,337,17,480380879,1
87,45,1954,111192310,1
88,218,28,7638890,1
89,18,2668,90486428,1
90,55,663,1181872020,1
91,6,86,204526931,2
92,1466,376,2400547959,9
93,2,903,44671098,1
94,12,28,105416993216,52
95,55,613,77647449,1
96,270,36,5702204,1
97,471,101,25446460,1
98,898,2133,74757807,1
99,0,1313,15570061,8
100,38,1397,17099701803,7
101,382,260,70471510,4
102,192,2210,22356000,1
103,2,2601,119541641,3
104,174,360,91019524,1
105,95,2210,184943329,3
106,867,20,3000000,3
107,278,90,999931000,1
108,441,382,26579991000,2
109,152,12,11943142019,2
110,146,2233,4980000,1
111,278,2324,1284910386,2
112,55,2141,1181872020,1
113,661,1083,552408618,7
114,278,481,1020839122,2
115,34,1813,74756302290,2
116,478,2,5031133,2
117,165,75,1136000,2
118,28,511,1085274608,1
119,105,2512,1355036694,3
120,2543,30,96053682,3
121,15,2940,35692302,1
122,85,218,8502784,1
123,94,100,4519894,1
124,55,512,2363744040,2
125,898,896,146212987,1
126,1083,984,180716500,1
127,2,879,45642505,3
128,27,185,22669055,1
129,278,921,4296338131,8
130,36,270,249960000,1
131,112,231,22026800,1
132,12,1863,272382351,1
133,12,248,10086542438,1
134,278,2926,872626411,1
135,2636,146,4988043,1
136,116,762,1217885886,1
137,1794,93,22540000,1
138,11,302,147570900,1
139,60,304,57958467,1
140,162,360,69873703,1
141,1313,2210,1384249206,5
142,12,116,10187059181,2
143,11,1105,125248200,1
144,675,984,10998710,1
145,55,2323,1181872020,1
146,27,95,22669055,1
147,12,915,10086542438,1
148,105,82,635435995,1
149,2636,44,32553751,2
150,278,1411,2115746557,4
151,198,171,77118771,1
152,12,35,401364393,2
153,293,2990,1153760865,1
154,119,2041,100000000,1
155,12,93,746709050,6
156,2,762,116028478,1
157,14,105,2500162010,1
158,55,2133,1181872020,1
159,44,340,424295471,10
160,458,418,132931641,2
161,38,30,55184648146,2
162,278,608,298981052,1
163,464,1440,159990000,1
164,1105,2990,95001003,1
165,278,1910,166642260,1
166,278,120,609912695,1
167,323,2541,6084487,1
168,2516,91,21568925,1
169,45,594,46563821,1
170,359,762,689375000,1
171,61,2229,20444335492,13
172,12,2567,10400755567,2
173,547,105,11087379,1
174,202,12,6780000,5
175,278,37,1574491933,4
176,85,2206,71503261,2
177,278,340,13902731786,28
178,113,137,1887577141,6
179,12,2828,74516329809,1
180,278,355,501174508,2
181,171,95,367695,1
182,2,93,25743259,3
183,12,231,877577811,7
184,150,299,5029005076,2
185,575,113,1102073,1
186,56,504,44130862,2
187,12,2629,10086542438,1
188,2021,262,10580000,1
189,116,1305,1958369103,1
190,278,939,911060308,1
191,27,2636,68007165,3
192,923,2741,1872720,1
193,105,1305,2892030505,3
194,2325,1055,10881700,2
195,2636,93,781958640,3
196,1083,37,50242675,10
197,155,113,10128861,1
198,270,1181,1634366,1
199,162,1776,367922020,2
200,15,12,153990000,1
201,754,1,56787300,3
202,128,90,124560520,2
203,330,2,68538640,7
204,1093,12,40686631,1
205,340,225,14261017,1
206,2506,762,935800694,2
207,461,28,6127818186,19
208,2206,1305,116169067,8
209,278,238,148400205,1
210,218,1057,1023878,1
211,18,389,336006428,1
212,278,1106,524112313,1
213,2759,1397,38524372,2
214,479,827,106248266,1
215,32,12,1570000,3
216,682,583,14212000,1
217,401,1281,12868269,1
218,44,984,613059275,13
219,12,1257,9016475906889,121
220,512,330,1990004,1
221,61,16,50015078,1
222,2,2097,16899639,1
223,12,45,27500,1
224,53,470,2226432,1
225,61,867,580116333,5
226,130,87,13912074,1
227,9,2905,1260543288,1
228,471,691,67936398,2
229,85,28,1132853435,6
230,55,1281,1181872020,1
231,278,1398,571241113,1
232,260,93,16530000,1
233,80,762,537460985,1
234,454,252,38354693,1
235,0,215,112628,1
236,56,340,263216163,3
237,1457,1984,25968650,1
238,1397,529,2141001,1
239,28,850,6931361817,4
240,225,375,44969453,1
241,278,3066,1096557493,2
242,278,237,112604989,1
243,245,12,1496381842,8
244,105,2550,4889177776,6
245,289,2245,24028224,3
246,12,665,539727571402,23
247,1083,2206,4141194,1
248,278,68,486255881,1
249,85,751,133934721,2
250,116,1752,10874897817,5
251,37,762,115466680,2
252,227,1285,99990000,1
253,19,146,32645487668,2
254,2,2133,10365659099,21
255,552,12,3497854,3
256,32,239,18014344,1
257,1772,1919,45954668,1
258,150,12,37863098553,9
259,665,64,44161147840,10
260,1057,218,59074,1
261,12,295,197198290,2
262,88,2636,18447041858,7
263,278,382,1482539106,2
264,270,118,13517275,2
265,936,762,31158510,1
266,38,360,994990000,1
267,162,113,36720211,2
268,116,984,6415246309,2
269,162,218,31047088,1
270,70,762,1121980000,2
271,73,575,3000035,1
272,745,12,783100000,1
273,260,382,117726000,8
274,2,1,171454200,1
275,28,119,3275222559,3
276,1869,495,49225898,1
277,12,2133,164298591607,95
278,785,12,201449342,1
279,204,152,1693008,2
280,353,62,23002008867,5
281,1813,1603,9999990000,1
282,278,2653,260041049,1
283,278,152,276183617,2
284,100,302,17319820,1
285,116,12,21744999847,11
286,150,2636,7812898637,2
287,86,478,10988168,1
288,4,0,890986085,1
289,0,76,97539,1
290,12,218,264027032,5
291,278,24,841595035,3
292,56,984,3838849741,21
293,227,1014,90000,1
294,529,1603,11000699,1
295,1180,382,68910000,3
296,93,1776,85114281,1
297,240,12,20984866,6
298,529,479,122760166,1
299,833,56,39473000,2
300,86,95,5187277,1
301,12,2287,590000,1
302,12,1744,347453754,1
303,105,2289,662958154,1
304,17,370,35743923,1
305,1272,113,5691622,6
306,1457,1107,2360788650,1
307,254,120,61990070,1
308,182,2041,5474660722,1
309,478,38,5613322,1
310,44,1124,101829938,1
311,19,85,4805688132,1
312,1130,458,2571550490,4
313,796,489,305288070,1
314,2,420,15194192,2
315,14,648,2500162010,1
316,695,103,1120518,1
317,85,30,1097406,1
318,278,2131,1447588290,2
319,105,1776,20697339092,22
320,478,2298,106544599,1
321,105,2372,5610528115,4
322,45,629,43003600,1
323,225,12,14969900,1
324,278,62,1320756616,3
325,2636,240,165009498,10
326,477,353,1499990000,1
327,12,393,6312001587,1
328,43,12,24780000,1
329,113,12,50079258,14
330,0,2041,4492072,1
331,278,299,722709832,1
332,135,2,5290000,1
333,1062,79,21400,1
334,55,642,1181872020,1
335,278,121,3337627298,5
336,45,2137,40262587,1
337,61,1107,5406033895,1
338,2696,17,19553500,1
339,55,2369,1181872020,1
340,113,1776,3990000,1
341,192,12,26230000,1
342,289,11,4417041,1
343,112,2433,22026800,1
344,12,118,433545553314,82
345,119,11,3566182,2
346,3034,61,9993930,1
347,1,380,18270000,1
348,115,1692,24895250,4
349,56,2133,1697852,1
350,28,121,1100104291,1
351,1189,1901,2299910453,2
352,415,2246,118165255,2
353,12,1360,10086542438,1
354,12,2527,10086542438,1
355,66,479,430000,1
356,1,2210,1698570000,1
357,199,2229,52507818158,11
358,12,2953,74516329809,1
359,278,148,447657290,1
360,479,11,220575480,1
361,28,1281,2196372356,2
362,36,28,294000000,2
363,1313,2634,4838458,1
364,18,360,8659844,1
365,116,2267,1926983615,1
366,1070,487,81726074,1
367,123,1313,530465097,1
368,478,2932,30128106,1
369,118,360,18090000,1
370,11,91,131235877,1
371,105,268,451678898,1
372,983,984,253678200,1
373,2270,268,1010808,1
374,2,2541,158181204,8
375,278,1599,298680874,1
376,198,260,517729125,1
377,105,413,6767991425,4
378,105,359,662958154,1
379,2689,988,28590000,1
380,102,0,16950000,1
381,82,414,2070000,1
382,2,363,47083300,1
383,45,65,65918270,1
384,278,2097,222919087,1
385,19,0,57352891143,5
386,683,12,130532401,2
387,135,1107,5290000,1
388,914,239,19828,1
389,138,2229,930000000,1
390,2,512,531210197,30
391,76,373,1000000,1
392,380,155,400203000,1
393,115,10,873515000,8
394,278,886,1171307285,2
395,61,1281,10496813567,3
396,604,2,310952164,1
397,278,101,1133090435,2
398,5,762,428154701,1
399,30,0,78593756,1
400,278,2826,299730000,1
401,278,79,1129965694,2
402,60,85,320109348,1
403,1107,353,999890000,1
404,12,51,74516329809,1
405,119,121,1562616,1
406,231,68,214990000,1
407,248,2186,100981001,1
408,227,79,101172192,1
409,364,2233,4900755,2
410,0,512,2923737,2
411,198,762,614982489,3
412,67,142,51993738,1
413,113,2210,231752180,2
414,2206,79,79341254,1
415,12,44,149346872747,3
416,12,255,6312001587,1
417,239,850,1992739362,4
418,12,268,27523125207,54
419,541,1320,924827,1
420,0,1660,13363309,1
421,307,546,41144311,1
422,461,2041,526606418,1
423,448,2210,5834924,1
424,116,332,1926306949,1
425,1561,2246,43720910,1
426,1107,2229,3381550587,7
427,2,309,9674253,1
428,330,200,6176656,1
429,30,28,7187510181,17
430,1758,2246,24452395,1
431,2,382,25203786,3
432,223,12,100903343,1
433,478,85,1293286,1
434,12,1460,401167508,1
435,12,603,331605939,1
436,478,28,4304122,1
437,21,0,10089557,1
438,1171,57,34775263,1
439,380,93,165078731,2
440,107,2206,66250016,9
441,105,95,6524424701,12
442,55,1877,1181872020,1
443,860,478,298044278,1
444,12,963,314213129,1
445,51,2,465404132,2
446,564,12,442960000,1
447,2509,1107,12990000,1
448,105,2133,4802019070,7
449,319,0,118743724,2
450,2,575,129177242,12
451,278,416,298680874,1
452,113,1919,1831337,1
453,353,1416,104332453,1
454,624,1083,83515329,1
455,182,43,5474660722,1
456,200,11,21645583,1
457,2,2141,484198845,24
458,1728,2901,5029410,2
459,12,2600,10086542438,1
460,353,1201,441890555555,16
461,12,2737,74516329809,1
462,278,2538,705161267,2
463,102,113,822076202,9
464,278,438,686409814,1
465,12,463,272382351,1
466,792,1083,94288799,1
467,898,1305,77241227,1
468,2,409,424615155,6
469,5,475,24990000,1
470,1,1642,10748004,1
471,55,84,1181872020,1
472,1807,2210,1685334419,2
473,73,478,284448,1
474,106,11,99990000,1
475,105,984,44281286619,49
476,38,478,296348917,2
477,116,1984,1268359460,1
478,86,1025,19604765,1
479,1107,106,430028000,1
480,182,2,5262233530,1
481,285,2,7437180,1
482,2,729,199071655,12
483,1,340,15540181,1
484,235,762,2999990000,1
485,1893,762,1472151995,1
