,Source,Target,value,nb_transactions
0,120,304,4970633875,2
1,2541,2,5000000,1
2,15,250,1342758474,2
3,2229,1,308847022189,40
4,841,12,15825445,1
5,113,2552,9663210,1
6,2,529,280755743,4
7,37,2187,5529641,1
8,73,113,8375393,6
9,1,177,12669313,2
10,28,182,595989712,1
11,51,2625,58361105,1
12,116,268,132206400,1
13,2,82,98961298,1
14,1313,478,26970069,3
15,1105,2,249999000,1
16,55,648,3057723688,4
17,93,1440,165965900,1
18,85,2636,16223592,2
19,239,1305,1210000,1
20,85,91,1058596,1
21,278,129,657866302,1
22,291,85,9180752,1
23,708,12,2559863,1
24,2,501,107273915,3
25,75,436,190000,1
26,0,2634,700706,1
27,18,399,433541853,1
28,988,113,3135370,1
29,38,940,4328657060,1
30,369,121,3340030,1
31,340,225,6012107,1
32,31,479,3980000,1
33,762,218,538401583,2
34,85,2210,1517303048,3
35,581,12,9803689,3
36,55,1285,311068961,1
37,38,796,88200052220,7
38,152,762,489639475,1
39,216,678,4130000,1
40,984,538,60688599,1
41,146,1107,186684552,2
42,406,270,214990000,1
43,1107,145,735407000,1
44,150,762,26021678116,9
45,359,666,214371496,1
46,2267,12,200000000,1
47,278,2229,265774644,1
48,353,1201,462666629098,29
49,2901,1107,1198297,1
50,12,3089,317041504,1
51,129,2206,400635,2
52,134,0,3281776,1
53,105,1257,587951033,1
54,529,762,635028097,7
55,61,56,1435463238,1
56,28,758,594631368,1
57,12,575,633705626,4
58,28,311,8709526,1
59,2,414,6419243,1
60,61,2246,112292851,1
61,105,529,3505290647,4
62,105,499,456817626,1
63,575,1752,10337685,1
64,202,156,1080000,1
65,278,940,1123852077,2
66,13,360,41134606,1
67,1257,2210,26901839433,3
68,0,762,5680101,1
69,2948,896,8527347,1
70,109,2210,121394472,1
71,1031,482,610250163,1
72,150,2,8105033581,3
73,278,101,835522105,1
74,28,544,775616161,2
75,12,2212,66367381828,1
76,65,38,18092356,1
77,12,2953,66367381828,1
78,12,1062,389020525,1
79,12,2737,66367381828,1
