,Source,Target,value,nb_transactions
0,56,95,2318946821902,73
1,795,2,330553886,2
2,148,796,24276040608,5
3,138,160,2414012271,1
4,12,121,106840010,1
5,0,269,754929,1
6,168,56,967732990,26
7,56,340,130256393906,3
8,18,2230,29724836,2
9,676,464,298283407,1
10,147,2,429666990,1
11,12,1776,152322989836,13
12,244,479,469906435,2
13,244,66,4783353942,10
14,395,376,102743230,4
15,150,2784,1902709090,1
16,8,188,8582999,1
17,376,296,46540249,2
18,30,20,1805341440,6
19,866,648,11255238161,1
20,63,95,5502428,1
21,56,182,115992548647,4
22,2,113,2170526122,14
23,64,762,149589638,2
24,2929,304,4206900586,3
25,293,428,348872623320,10
26,23,60,1135754,1
27,649,12,299950000,1
28,162,648,1883358886,4
29,273,67,312389900,1
30,27,44,98082836,6
31,376,587,208503100,2
32,0,323,9345004,2
33,225,870,9773879,1
34,244,23,7471000,1
35,8,1776,196733067145,43
36,12,581,108127510857,6
37,11,1397,12928219997,29
38,148,2210,8527397410,2
39,442,984,354854952,1
40,124,2783,10567903,1
41,12,297,44664845851,7
42,2,896,537908060,7
43,340,370,160989855,1
44,6,984,289780666,6
45,56,2,4904433800621,115
46,20,67,8606626,1
47,2,972,243493952,2
48,2929,2248,4206900586,3
49,102,2,664030099,2
50,1628,467,5460,1
51,2,512,148875703,1
52,12,1,934132970,4
53,8,665,57808286145,11
54,64,169,878042683,1
55,81,1397,12539277,4
56,78,148,197776173,5
57,27,239,9989465,1
58,2,23,69918904,1
59,1061,2210,2422312047,1
60,567,894,199972590,1
61,64,102,382436766,1
62,660,73,2480101,2
63,29,1,2583922,1
64,244,1440,1280800,1
65,0,121,11499046,5
66,0,1863,148748,1
67,105,185,59084471,1
68,2,870,21723908,1
69,0,548,4394724,1
70,59,297,16501832,1
71,81,1,6544694,3
72,69,1281,110267302450,5
73,374,894,2988622260,4
74,85,618,17203874,1
75,2502,451,3277900,1
76,116,665,3269356,1
77,56,342,101194220257,1
78,56,27,1396517240190,63
79,2065,2210,875869,2
80,2552,2,3213265,1
81,59,86,1078252,1
82,56,778,1283616996800,33
83,30,2,519845656,1
84,0,2913,923809910,5
85,44,95,3336253,1
86,8,1007,15663996836,2
87,374,269,462330417,2
88,1,2210,15444839263,24
89,30,1,36662910,1
90,852,2194,10425182,1
91,38,374,1163754,1
92,260,1116,10037680,2
93,2,2858,16354444,1
94,56,884,125641890999,4
95,13,467,139969355,1
96,12,126,277275497,1
97,60,56,34133688,2
98,20,932,53354840,1
99,143,188,3596833,1
100,1,1099,924571326,3
101,553,1776,19126360,1
102,318,188,1748760,1
103,44,894,1157751652,19
104,2,140,4590025810,100
105,25,56,1100560,1
106,187,947,2147910,1
107,85,2210,2172609,1
108,13,2215,390364,1
109,116,12,99950480,1
110,66,29,69914055692,5
111,3,581,38276624,2
112,107,244,61330588,1
113,56,2248,2175657776343,60
114,29,2314,2241862,1
115,1214,222,25970466,1
116,20,2187,499844846,1
117,66,27,10237943885,1
118,6,870,6195480,1
119,38,1981,4021301147,1
120,268,2210,163026305,7
121,376,1122,1547300004,6
122,376,833,331000002,1
123,778,152,1599963410,1
124,0,188,71397628,45
125,107,894,12013719,1
126,132,2363,3233361687,2
127,11,2578,741264721,2
128,197,441,16663244,1
129,260,98,10862424,3
130,11,297,2221810594,6
131,534,73,1029787265,6
132,749,2194,1199940000,1
133,150,140,2876401707,1
134,53,2248,29836536,2
135,132,872,47667863002,3
136,525,901,119910664,29
137,56,1510,178783870440,4
138,16,222,179700000,1
139,158,1440,2035443,1
140,1,2309,198786,1
141,38,1083,1107315672,1
142,217,653,49627950,1
143,1908,196,46156781,3
144,21,2210,13674667,2
145,2929,901,4206900586,3
146,81,984,1525313,1
147,85,2289,3193007780,1
148,8,434,23029412601,4
149,116,581,77243411,1
150,152,461,2243827,1
151,18,2185,44587254,3
152,1,605,6897089100,14
153,23,12,5401780,4
154,150,23,581975220,1
155,64,665,41372159281,178
156,74,252,5215824,1
