,Source,Target,value,nb_transactions
0,1823,0,176203452,1
1,1494,796,215627608,2
2,995,201,51036470,1
3,151,61,87040694,1
4,758,81,606980000,1
5,268,0,11094375,1
6,1,2248,50063816266,413
7,116,484,308430748,4
8,74,643,92686500,1
9,2609,900,819295400,1
10,162,2388,332122251,1
11,95,374,21793258,1
12,137,819,189244900,1
13,2203,2590,100070000,1
14,167,2182,738751333,1
15,452,730,35970000,1
16,8,21,27463590750,4
17,157,341,130987570,1
18,813,1948,32609979,1
19,748,838,243000000,2
20,14,113,256821140,1
21,778,984,622680223,2
22,398,66,153709100,1
23,247,89,9980000,1
24,3048,2488,90140000,1
25,1832,205,53430000,1
26,64,698,11228360224,5
27,455,0,617815538,2
28,297,29,53833123,1
29,28,2177,6713246,1
30,105,2497,551667473,1
31,2,455,376546055,1
32,190,1013,75430331,1
33,1052,1478,14243841,1
34,79,1714,2240084,1
35,649,2248,199990000,1
36,54,915,184639730,1
37,35,249,13055300,1
38,1657,2917,24856100,1
39,1645,188,4924194,2
40,78,508,9980000,1
41,2248,648,957542505,5
42,742,188,42378514,1
43,249,1657,49780000,1
44,1,2294,27014935,2
45,195,326,309236304,1
46,124,461,273187442,2
47,124,737,96780000,1
48,113,2185,6723413,1
49,25,1139,43000006,2
50,2342,194,26496127,1
51,923,38,10962696,1
52,928,2194,1515820,1
53,2886,276,1060420000,2
54,76,2182,97959081,2
55,162,984,17591308,1
56,455,984,1029248196,1
57,2385,1832,170721400,1
58,120,918,5127710951,4
59,2134,1063,112038500,1
60,2883,205,174189600,1
61,694,305,120351700,1
62,152,2187,251355888,4
63,509,728,176000000,1
64,1052,25,7971924,1
65,23,1519,4511321,1
66,675,2183,3585828,1
67,11,2363,525924528,2
68,1,46,366922730,3
69,837,3063,202600000,1
70,66,458,5077737044,1
71,1105,2183,426794542,1
72,125,779,6047639,1
73,529,56,449167066,2
74,2,1603,13465218716,3
75,455,1089,7193270,1
76,120,1776,15383132853,12
77,2478,41,132345800,1
78,404,2210,32621328,1
79,12,627,36387740468,1
80,354,813,87910000,1
81,1266,964,350160000,1
82,105,95,7262558123,11
83,575,37,3415811,1
84,819,748,235844435,1
85,1060,2645,55110143,1
86,675,665,499965940,1
87,342,827,7033400,1
88,2,342,54963657,1
89,56,564,30024662346,6
90,378,197,500170000,1
91,14,297,492091100,1
92,61,427,26767593,1
93,850,33,176395173283,12
94,909,57,348993537,1
95,19,188,8497861,2
96,508,2227,87620000,1
97,219,2194,583146,1
98,245,0,6265672,2
99,827,101,81529218,2
100,472,0,69820900,1
101,32,297,2310065,2
102,18,665,7837838,2
103,772,1603,149988700,1
104,228,1,830240900,1
105,2,246,26697300,3
106,162,71,15821631,1
107,61,2246,433050238,4
108,64,467,1196449901,1
109,38,1397,1021342,1
110,148,15,920114870,1
111,936,467,130098832,1
112,1404,592,193890000,1
113,12,808,36387740468,1
114,252,943,51001164,1
115,73,291,1370791,3
116,2248,226,16317677,1
117,60,983,145778707,1
118,707,310,160190664,1
119,546,134,9980000,1
120,264,2309,5350918,1
121,113,95,2487570,1
122,28,2313,8469257,1
123,923,56,3758004,2
124,398,157,800460000,1
125,1129,570,10091723,1
126,290,188,8463987,2
127,443,188,1874741,1
128,2,121,84106267,1
129,12,698,211279,1
130,523,2269,17045370,1
131,2,31,85854984,1
132,8,39,11363133992,1
133,1,2210,352466000,4
134,267,61,12311000,1
135,529,72,6730580,1
136,304,1089,30668198,2
137,120,1714,5127710951,4
138,0,660,900000,2
139,382,2488,599980000,1
140,357,1859,73697600,1
141,0,2224,20868702,5
142,1693,490,11735000,1
143,71,507,11066713,2
144,0,478,90769,2
145,35,2615,61530000,1
146,179,188,1529502,1
147,2,499,106398859,1
148,1074,1083,21016787,1
149,167,166,299403965,1
150,18,2182,9227271,3
151,40,648,12783078064,1
152,11,225,544467890,2
153,28,2538,7629931,1
154,12,1139,45279141,1
155,304,2194,6955068,1
156,565,184,38636712,1
157,45,304,162327077,1
158,32,2363,5006260,2
159,194,1352,9980000,1
160,66,2187,3183192643,1
161,0,923,61023340,1
162,162,56,7283458505,16
163,148,253,204997912,1
164,304,1780,86171000,1
165,17,907,52870000,1
166,228,2488,162720900,1
167,14,1728,513642280,2
168,1,117,897068717,6
169,187,2609,78311700,1
170,227,2932,15145826,1
171,1799,2375,300040000,1
172,2424,404,8443937,1
173,1,821,25931680,1
174,2163,689,182890000,1
175,28,850,7592324,1
176,0,30,1025100,2
177,150,470,1988490,1
178,28,892,114606769,1
179,122,2210,1989962710,2
180,38,919,6262218364,1
181,20,1603,1651160497008,14
182,371,2231,53953329700,4
183,592,665,1010000,2
184,981,2161,99980000,1
185,2468,2375,75384800,1
186,160,2405,18191970,1
187,386,2943,1020634,1
188,897,2645,258220000,1
189,1470,2329,167206203,1
190,2468,2342,701000000,1
191,3115,1439,6153543,1
192,833,2183,45184622,5
193,298,374,4630863073,1
194,2937,267,19880000,1
195,382,628,41120000,1
196,0,140,874772,5
197,120,0,1546040704696,1206
198,1665,95,11024337,1
199,564,2810,26032680,1
200,2134,730,252270000,1
201,1060,2375,215702000,1
202,102,0,8303230852,2
203,9,304,1432930000,1
204,146,2267,1505200,1
205,120,2248,10255421902,8
206,239,564,323408564,14
207,151,2591,1971478400,1
208,359,148,1499977477,1
209,471,297,21060000,1
210,582,308,632055827,9
211,14,665,1438220000,1
212,315,188,11568472,1
213,293,1238,787175785,1
214,167,2183,170843965,1
215,11,428,399120801,1
216,33,1943,18613622916,1
217,611,157,419810000,1
218,43,868,77378150,1
219,12,1397,148146131632,43
220,32,1439,3787160,1
221,2664,115,20679100,1
222,108,2210,469143560,1
223,177,1886,4048904,1
224,176,12,7326232266,2
225,190,188,8190135,2
226,85,1466,5670581,1
227,950,1999,76212900,1
228,252,1798,65260292,2
229,512,0,1010000,1
230,2572,1089,574233,1
231,1247,2183,3135666177,2
232,1093,2,861148100,3
233,675,2,255715577,1
234,2424,188,6032311,1
235,675,732,30703522035,4
236,0,126,14025161,1
237,120,2231,5127710951,4
238,838,1073,18651500,1
239,301,665,30088000,1
240,2659,1122,791968000,1
241,2,71,55153501,1
242,633,230,99980000,1
243,143,270,38890951,2
244,28,323,48543362,3
245,294,1316,395918625,14
246,120,607,5127710951,4
247,2590,270,99980000,1
248,1583,0,1730097,1
249,2,2291,698083849,7
250,67,56,1699960000,1
251,1597,1943,77883700,1
252,244,484,12102000,1
253,28,707,30033966,1
254,1350,0,1886321700,5
255,1019,2375,91727200,1
256,61,56,11795856917,7
257,8,32,2587776011,1
258,2889,279,100060000,1
259,148,984,1061973322,3
260,264,1072,188263792,1
261,102,1397,8885679885,1
262,1038,1043,49980000,1
263,105,3019,16708912,1
264,665,720,3503713120,1
265,455,16,299700604,1
266,2937,2125,49980000,1
267,305,665,17486280,1
268,294,73,27520012,1
269,492,2375,100420000,1
270,89,46,8668458,1
271,23,3013,9726485,1
272,2113,2125,203570000,1
273,1965,2378,48369171,1
274,120,1608,5127710951,4
275,296,56,1196857,1
276,66,892,50746645919,13
277,18,0,195928107,60
278,413,2496,81555474,1
279,26,1198,19980000,1
280,30,188,5119862,1
281,201,1701,7056134,3
282,2207,873,199960000,1
283,1266,2674,10000000,1
284,61,309,1284770000,1
285,542,1049,2133275,1
286,2,28,1269340792,16
287,73,268,2101787,2
288,295,297,9980000,1
289,2423,1802,243250000,1
290,856,0,5985970,1
291,880,2183,189245116,1
292,14,367,499990000,1
293,909,1999,373869080,1
294,925,2881,109178500,1
295,32,71,1133335,1
296,2,762,477475482,4
297,2887,1701,11050501,1
298,396,2183,1153369260,2
299,230,249,199740000,1
300,38,2,19586437464,4
301,923,0,5490000,1
302,468,392,99609300,1
303,598,188,2008036,1
304,318,449,6864050,1
305,301,965,15063334,1
306,126,56,10906554616,5
307,374,12,3790597692,8
308,1737,467,4861570,1
309,2127,0,623312165,1
310,600,149,34544089217,1
311,202,61,1051558700427,5
312,278,648,992534285,1
313,1060,800,127660000,1
314,121,943,199660250,1
315,1631,1626,199220000,1
316,338,1641,19994997,1
317,1,455,48319777,1
318,2659,250,30750000,1
319,328,2,7132633,1
320,102,1603,17325138130,1
