,Source,Target,value,nb_transactions
0,82,56,3450225,2
1,20,1457,141046187,1
2,12,5,14592293,1
3,2,1439,211907787,4
4,2248,44,230305857,4
5,12,644,138532600,1
6,16,923,1169567,1
7,5,56,230168759,3
8,56,2210,13484758930629,292
9,2,56,500757191,6
10,839,1635,3930386472,3
11,923,2305,304546376,3
12,18,56,15840000,2
13,396,2246,570917332,4
14,777,894,31971260,1
15,66,648,17243254224,2
16,25,304,932709391,2
17,1734,894,5867247,1
18,116,73,504139342,6
19,227,1641,6065724,1
20,371,1281,9548376764,1
21,116,1440,402802282,1
22,185,1089,7675948,1
23,2,575,29448736768,9
24,121,44,259767904,1
25,1,894,320714786788,111
26,56,154,39231645271,1
27,227,2223,8502114,1
28,8,856,16095918225,8
29,275,1085,68963043,1
30,410,73,134634,1
31,529,2210,5950000,1
32,417,648,103048317,1
33,58,12,4379992,1
34,55,903,755989351,1
35,2929,1790,2659258639,2
36,635,188,3780284,1
37,113,2248,139155444,11
38,113,239,231959,1
39,64,1641,7548499460,17
40,25,32,2503373410,4
41,2239,1348,129616831,1
42,202,894,88179139,1
43,8,1007,5633657,1
44,412,29,1254000,1
45,38,56,8158708948,17
46,116,44,52177021,1
47,1100,2210,153518804,2
48,1102,2305,623714702,4
49,8,464,17111541,1
50,160,1089,8282350,1
51,2929,268,2659258639,2
52,374,323,535385134,1
53,138,56,6604593047,4
54,38,894,4078620,2
55,322,894,76730000,2
56,2,744,300510857,1
57,2292,870,38294681,1
58,230,464,143270769,1
59,126,3055,1940476100,1
60,1121,1,16667570,1
61,56,638,174302936609,3
62,105,2248,4145123787,1
63,1083,63,70000000,1
64,374,455,450916040,1
65,297,564,99950800,1
66,236,942,15430,1
67,534,467,1308639948,4
68,212,42,1825185,1
69,749,2248,1255733,1
70,0,30,1417938,2
71,430,38,427865994,5
72,38,2331,93910498,1
73,11,1397,9976476780,17
74,587,98,6839622,1
75,370,1089,14704109,1
76,278,1,354775727,2
77,2248,434,609313381,1
78,416,188,3581225,1
79,28,870,16859446,2
80,244,2187,171580,1
81,374,56,153384023,1
82,1,1502,391017624,1
83,12,79,359269698,2
84,126,1,12268986279,5
85,839,849,1377784307,1
86,427,188,19524604,1
87,18,1776,15840000,2
88,778,23,13383172,1
89,30,2356,16473751,1
90,2,20,121378536,2
91,151,304,45157257,1
92,5,0,104873701,6
93,4,163,64853300,1
94,1084,2210,81834000,1
95,5,1,418428010,1
96,2248,5,492405596,5
97,595,1089,15271686,2
98,679,894,63135095,1
99,374,1636,77878431,1
100,2358,2,17097376,1
101,152,1061,7326202,1
102,2,2194,19698063,2
103,79,665,1138239,1
104,63,286,1122123,1
105,119,0,1401944,1
106,79,1776,26533123,5
107,37,2229,23994757911,3
108,57,434,3855790,1
109,95,0,1230331,2
110,150,85,35919888251,11
111,792,1440,1470000,1
112,839,474,451162722,1
113,262,1628,6756608400,75
114,148,1160,418696366,3
115,1128,1089,1604169,1
116,8,323,12657681944,2
117,64,434,80264443,1
118,1023,984,52414789,2
119,1100,297,19340565,1
120,59,252,9950000,1
121,79,2224,3535315,1
122,32,374,5982204,1
123,66,294,26662818290,1
124,609,188,9770134,2
125,469,312,113465974,1
126,347,915,1969918640,2
127,1,605,66702729722,38
128,12,605,22634159167,1
129,2537,188,5087078,1
130,866,2131,2820289349,3
131,0,297,954800,1
132,998,1089,734103,1
133,2,126,2285000,1
134,1,538,250519954166,140
135,131,1,1676287,1
136,582,2223,34881033,2
137,426,2215,328411140,7
138,63,56,140203716,3
139,64,1,68562598884,107
140,113,1641,96413185,5
141,64,2248,3326124,1
142,64,2276,816035727,3
143,374,434,999904190,1
144,8,1776,14085876975,6
145,116,297,270337324,3
146,25,890,29500000,1
147,374,1080,98426421,1
148,529,56,15489860,2
149,374,1440,7922849886,10
150,73,467,3825962,1
151,534,896,662438626,2
152,665,662,8091366366,2
153,1061,59,4402007378,8
154,6,105,182266546,5
155,30,0,73683963,7
156,76,1397,489951280,1
157,929,2248,2004663,1
158,38,38,8377331467,2
159,113,278,574219,1
160,98,0,112126497,2
161,14,176,107312097,1
162,113,896,71543,1
163,30,342,999897746,1
164,1089,1884,10000023,1
165,12,1298,22634159167,1
166,140,2356,26073186288,16
167,82,0,1574218,2
168,5,2248,17001402,1
169,116,467,1650563725,11
170,614,564,801529952,1
171,233,1089,349899972,2
172,98,12,4950468,2
173,14,148,321936291,3
174,1092,0,49578083,2
175,1089,376,4000001,1
176,298,23,4417226144,1
177,534,478,328308077,1
178,847,215,34000,1
179,0,239,61833607,11
180,30,1083,3918591542,1
181,478,95,12516335,1
182,148,796,3379021496,2
183,73,376,3137023247,43
184,113,635,18146,1
185,129,2224,4547683,2
186,148,1494,197846070,1
187,0,839,21507938,10
188,12,1,4479428,3
189,0,2897,790677280,1
190,64,193,48464724,1
191,2248,856,49874372,1
192,25,464,254367069,1
193,920,140,401209147,1
194,138,762,35607518683,9
195,59,1440,98126937,6
196,839,73,1502141741,1
197,839,2,1419903533,3
198,148,1714,105044086,1
199,371,132,9548376764,1
200,82,374,109925608,1
201,193,0,36604812,6
202,374,752,223668780,1
203,2,627,2018435,1
204,478,894,8228427,2
205,20,434,1299922769,1
206,649,146,299950000,1
207,59,1083,161511217,12
208,762,2185,454797490517,1
209,428,23,25787252,1
210,105,429,4145123787,1
211,4,430,24992185,2
212,103,894,7090225,1
213,369,0,3852195,1
214,38,2182,17072850000,1
215,20,879,31199803,2
216,66,2248,13543280,1
217,162,575,1209361855,4
218,305,444,205667908,4
219,489,984,1136487068,1
220,958,1,352331880,1
221,64,86,1474423793,2
222,124,2,599891969,3
223,101,340,203750240,4
224,169,1714,2410207,1
225,3,1776,28730606,2
226,1,753,6066084409,9
227,490,1006,9130120,1
228,150,984,1389655558,1
229,1,2187,57783330705,19
230,56,1083,187725508929,4
231,79,1440,3105539,1
232,1790,0,72170048,1
233,11,1335,944246196,1
234,297,313,375285870,2
235,2224,894,3910000000,12
236,1042,662,614175255,1
237,150,2210,26806383428,7
238,0,1061,12878100,2
239,82,744,430162002,1
240,56,1149,197846770905,2
241,162,2,10310401,1
242,2050,1714,27386890,2
243,25,374,10128070,1
244,8,1478,2333868,1
245,64,1089,1032697000,1
246,3,1478,244210151,17
247,66,297,19794947413,1
248,2912,315,32464760,1
249,1,2356,9324882656,10
250,56,564,187145919542,6
251,403,0,1007230,1
252,153,2224,9883554,1
253,478,117,3010227,1
254,2248,13,639349305,3
255,148,1,3000126,2
256,37,132,111975536918,14
257,1083,894,267912250,2
258,63,145,3413161,2
259,32,1440,27775066,2
260,1,884,204320235,2
261,3036,2224,5965392,1
262,3,2363,14365303,1
263,28,894,786525,1
264,113,779,35938282,2
265,116,1,910916845,7
266,1218,894,42016422,1
267,264,466,2345136,1
268,2090,188,4051936,1
269,1,187,924201214,1
270,38,23,3097463003,1
271,193,894,23340473,2
272,37,2185,15996505274,2
273,18,821,7920000,1
274,29,105,129155059,2
275,18,29,7920000,1
276,839,296,2386234234,1
277,1,374,1960259007,1
278,1086,188,185698200,3
279,69,2228,5251158914,2
280,660,1478,9118448,1
281,374,84,1257227191,4
282,130,2224,4090580,1
283,278,383,36897911,1
284,188,779,1837766,1
285,9,2146,15207110,1
286,63,21,10325638,4
287,299,894,2535884,1
288,912,225,13012505,2
289,2,105,13025835,2
290,2248,226,17244543115,146
291,637,894,71645678,1
292,89,575,1642493270,6
293,38,1641,693200,1
294,471,374,8995855,1
295,376,323,233103785,3
296,802,12,25431440,2
297,32,2210,202087125,3
298,105,293,8290247574,2
299,3,2027,14365303,1
300,12,227,343936263,1
301,6,467,103662646,3
302,11,62,634767044,1
303,8,16,1494605813,1
304,371,56,57290260584,6
305,173,1641,5854539,1
306,138,113,8637851174,1
307,371,778,9548376764,1
308,66,894,158444716965,10
309,1551,12,961168,1
310,113,73,59704834,10
311,2248,464,59583931,2
312,939,0,2198353,2
313,8,126,13141176814,4
314,13,2186,2171906,1
315,2,386,265668320,6
316,56,319,82104442162,1
317,936,665,1752556760,1
318,44,0,426920341,16
319,1,411,1405322897,4
320,260,2,10847600,1
321,73,95,116241070,2
322,270,2210,21884401,1
323,839,0,356018625048,299
324,86,12,1144380,1
325,59,239,2628586,1
326,551,1603,154739940859,41
327,744,212,255761800,2
328,2710,891,3059574,1
329,415,894,187342239,2
330,86,227,19959175,1
331,113,894,604771528,1
332,2929,370,2659258639,2
333,56,155,610751671983,14
334,63,20,21001692,1
335,64,2,10670029329,7
336,113,41,61543,1
337,163,1,1499959231,1
338,56,2182,91768476237,3
339,2,648,154215848868,40
340,1,575,134994339,2
341,121,894,5819379,1
342,2929,901,2659258639,2
343,152,894,3132201941,41
344,93,1,2692000,1
345,374,113,3689810188,13
346,0,856,844934,1
347,2929,2248,2659258639,2
348,545,665,409134,1
349,25,512,171501264,1
350,278,3,5250417,1
351,12,2131,22634159167,1
352,27,148,29439512,2
353,3,86,14365303,1
354,63,38,1276780,1
355,148,1772,999937564,1
356,64,2210,136133847,1
357,14,665,6318240,1
358,66,1,999900000,1
359,374,1089,10491007672,44
360,16,2305,65703573,2
361,20,86,16199483,1
362,116,102,133247776,2
363,59,919,7253990,2
364,0,3055,1955207,5
365,69,1119,6079230678,1
366,69,132,12158461356,2
367,374,960,317528912,1
368,76,2215,209152843,1
369,16,1,682805990,10
370,1,1382,990677609,1
371,517,95,10776096,2
372,56,2187,1205654559492,22
373,183,304,29728792,1
374,66,175,19285933263,1
375,233,374,597974404,2
376,8,103,10414771,1
377,527,374,43110404,1
378,236,160,5994434,1
379,8,374,8643688619,1
380,360,95,89972880,1
381,2,140,1095401225,22
382,293,16,16852034112,1
383,2248,2194,26853433,2
384,374,788,120045979,1
385,923,1603,372327880,1
386,306,648,271305947,2
387,450,119,180427153,1
388,733,675,884416,1
389,415,188,19852880,1
390,839,175,1825578238,1
391,73,894,48001800,3
392,1089,2210,1632000033,10
393,23,894,123080000,1
394,56,6,23320938317,2
395,509,12,83136840,1
396,20,2,70565604417,5
397,1772,0,21308160,1
398,56,286,551799850844,11
399,37,222,15996505274,2
400,12,2186,29184586,2
401,46,467,189928980,1
402,665,1111,4045683183,1
403,58,2317,44898629,4
404,121,56,349746192,2
405,753,762,75953918,2
406,105,428,12435371361,3
407,778,23,101029459,1
408,11,902,213816868,1
409,8,984,74838198407,18
410,591,251,63144165,1
411,311,569,10781593,1
412,121,923,222878288,1
413,164,0,5035920,1
414,86,2248,4952026,2
415,121,665,499907904,1
416,76,263,496001760,1
417,896,1397,2233220,1
418,62,1701,26481723,2
419,244,185,15356354137,17
420,25,79,416900874,1
421,152,60,1456620,1
422,16,44,270298795,3
423,268,2210,56819239,3
424,0,14,28584544,1
425,428,375,80840000,2
426,1,545,1870280212,1
427,14,56,34986765,1
428,95,2210,1278692530,9
429,44,27,115330600,3
430,19,648,10543323740,1
431,2248,2233,107195136,1
432,923,2210,4109656,1
433,406,0,209585004,1
434,37,2210,15996505274,2
435,887,23,39073697913,1
436,138,66,42370743997,2
437,2090,2810,8102880,1
438,73,239,3438965,1
439,23,272,3003450000,1
440,302,2356,2211661,1
441,140,1464,7815332446,3
442,1389,905,4973241,1
443,11,1457,1164452516,3
444,374,376,3424385545,11
445,64,648,5619672118,10
446,262,2194,379473,1
447,297,2305,249012991,2
448,199,264,565158289,1
449,279,188,19548400,2
450,16,0,2061702174,15
451,778,1,1339748739,12
452,1061,73,513733184,1
453,44,467,152279608,2
454,222,894,2005871642,2
455,78,377,54754146,1
456,115,891,37444224,1
457,2,426,3014325,1
458,32,512,2161417,2
459,29,627,1990734,1
460,268,343,15398411,1
461,98,675,10890047,1
462,432,30,42943546,1
463,56,439,111510340412,2
464,63,1413,40221658,1
465,64,1440,5937524839,6
466,150,0,151325452,1
467,1797,2224,5117199,2
