,Source,Target,value,nb_transactions
0,56,163,33231843124,1
1,140,294,261575023,1
2,244,662,5392262,1
3,136,188,1890921,1
4,278,0,41894362,1
5,1711,2768,113630778,1
6,2248,1083,965758740,8
7,30,56,982816809,5
8,2248,463,591635359,1
9,923,39,70797369,7
10,25,2248,156400045,6
11,371,105,10277432007,1
12,1134,919,19050060,3
13,8,182,1280837561,1
14,64,662,4975231734,15
15,182,1089,6785310,1
16,25,294,7980135,3
17,32,884,1487854,1
18,116,140,29877075,1
19,959,771,45513754,1
20,18,2,3075572760,104
21,882,188,63133330,1
22,22,0,59985310,1
23,2,2231,62009227,1
24,1,423,104864759,1
25,102,627,288780000,1
26,199,2210,4101292316,4
27,38,155,93422321,1
28,89,607,26307161741,2
29,609,38,144324568,2
30,376,648,666956805,1
31,56,239,5057879498,1
32,32,1714,3860139,2
33,1,440,278429656,2
34,85,1089,844856,1
35,56,297,1395564906924,65
36,105,2557,549883163,1
37,140,1,243985011,9
38,2008,188,1583018,1
39,11,148,4569909512,6
40,56,86,338551419412,12
41,12,484,1160673341,5
42,374,246,438625758,2
43,568,593,51009934,1
44,0,2215,34951053,6
45,162,1439,41806170,1
46,12,2187,770176084,7
47,215,894,57097760,1
48,2,82,23809281650,9
49,150,188,275276612,7
50,2928,2309,12790435,1
51,126,2215,40668596124,6
52,1350,108,199269600,1
53,25,2183,451085036,2
54,116,1440,294085760,4
55,199,462,2180551888,1
56,592,188,1309912,1
57,190,1028,421133039,1
58,102,1641,666593143,2
59,56,1890,1515264700,1
60,1263,874,1602778,1
61,28,1478,886850812,54
62,2,2182,252105496,11
63,305,65,5770000,1
64,12,16,446186669552,16
65,244,239,2276807,1
66,150,3004,1304718242,1
67,25,1083,268105181,1
68,64,984,60764622,1
69,51,1776,103521926,1
70,56,2276,45102545509,7
71,369,2356,4848576258,13
72,102,1603,5610450000,2
73,190,410,319616578,1
74,63,1776,1606309,1
75,2,95,524945292,18
76,292,2269,5676381,1
77,343,188,3612600,1
78,56,575,39025783678,2
79,105,2,8290874999,9
80,2197,188,4097710,1
81,12,1734,27886666847,1
82,2089,1089,575001,1
83,198,0,3993340,1
84,0,1089,33461708,12
85,56,592,12121337239,2
86,244,675,35366762262,11
87,575,2215,11000303,1
88,69,607,27836868555,2
89,163,2186,9656100,2
90,207,2009,17155234,3
91,85,905,338779,1
92,368,464,12975310,1
93,1334,414,3625310,1
94,353,6,8410000,1
95,46,648,420607936,9
96,44,2,921432250,13
97,332,2224,7460628,1
98,14,2210,103601878027,4
99,268,0,1054520,1
100,56,600,1292291729,1
101,63,2248,22203162,6
102,1083,427,1507400,1
103,87,2997,13201780,1
104,15,2224,23129729,1
105,40,2186,159186313288,12
106,120,2398,5281491063,4
107,38,796,4402422045,1
108,177,2406,111761830,1
109,778,156,12542338,1
110,762,1238,110093340638,1
111,61,2182,305509369,6
112,340,2224,11776777,1
113,916,731,12138290,1
114,199,74,14199981920,1
115,487,188,3118792,1
116,100,2224,23317329,2
117,66,1,1159519166,1
118,66,268,8212545326,1
119,817,1641,14011512,1
120,12,2131,33070877,1
121,408,56,133299,2
122,301,1848,12380000,1
123,223,188,6766868,2
124,2617,635,13738216,2
125,8,2248,3718757381,5
126,429,870,7560860,1
127,89,432,6423957865,1
128,22,1089,23659200,1
129,18,0,768893190,26
130,484,636,6407380,2
131,489,1095,299929322,1
132,29,2196,124770233,1
133,20,175,3361778717,3
134,40,901,17350263991,1
135,428,564,12868908439,6
136,2,512,20740889,1
137,16,302,8345995838,1
138,551,850,6970172768,2
139,51,575,128621321,1
140,3,2129,46230417,1
141,56,1285,1290476899,1
142,25,101,6959489,2
143,69,0,46477114872,3
144,18,297,59145630,2
145,66,2224,1289169,1
146,878,478,300000,1
147,38,1238,1028844278,1
148,478,467,2386424,1
149,528,894,97547000,1
150,54,1083,39500000,1
151,2772,50,8651870,1
152,1026,2210,40335449,1
153,56,2229,7294776145,3
154,28,82,11768540,1
155,38,665,8873647536,3
156,412,0,4380217,2
157,348,2210,1083822,1
158,14,2,126495234,1
159,29,984,1737273,1
160,1083,244,43730600,1
161,14,627,63234,1
162,56,1703,1418788054,1
163,429,1,4915281,1
164,0,188,4572288,2
165,61,1076,31445468,1
166,30,2356,2942858,1
167,1061,374,3906440245,2
168,124,805,22750614,1
169,89,850,7898562661,1
170,121,105,5330931,1
171,56,455,2584104459,1
172,61,202,1064239826205,22
173,1,1022,8989920,1
174,963,894,2469960620,1
175,8,20,4951314544,2
176,150,1665,67607300,1
177,69,222,18640246317,1
178,715,1440,2844002,2
179,1540,1092,71495410,1
180,3,2,394263914,9
181,63,2194,11382800,1
182,199,2231,22160484690,4
183,351,4,5544981,1
184,0,428,118883,1
185,38,2962,176840100,1
186,8,665,3968204733,3
187,627,188,1942959,1
188,2248,113,2100860768,26
189,51,984,99357621,1
190,461,994,4502570,1
191,1209,1457,1226075682,5
192,59,63,171070970,5
193,44,1603,291786825,3
194,1322,1030,772184537,3
195,664,62,237305310,1
196,3101,188,4910389,1
197,2251,2,45625590,2
