,Source,Target,value,nb_transactions
0,56,16,366050798225,8
1,24,894,3136801,1
2,340,10,21809688,1
3,25,2363,373990577,1
4,1502,461,7428037,1
5,95,294,1421600,1
6,12,297,61733654823,36
7,11,1397,3844967701,15
8,2,2356,13770762,1
9,162,2210,274960900,1
10,8,884,1001185933,1
11,1214,61,399988700,1
12,261,0,16707396,2
13,56,1635,56158408004,1
14,71,376,16132591,1
15,2805,1,11586052,1
16,12,95,36882971120,134
17,19,61,142770031799,4
18,44,1776,538141464,8
19,38,2,122025480,16
20,51,1,11812730,1
21,193,95,1841050,1
22,38,297,4042175,1
23,25,2248,191900000,2
24,374,304,997214575,9
25,0,2693,3563450,1
26,98,660,1819897,1
27,38,369,3259916537,1
28,116,1100,97312748,1
29,0,302,592600,1
30,38,58,1584340,1
31,156,323,199720834,1
32,56,1083,3568802085,1
33,56,82,144607746764,6
34,1115,63,3924897170,2
35,66,464,5505294840,3
36,196,2,13000622,1
37,0,2313,195000,1
38,18,984,319731116,47
39,8,2186,3584297835,1
40,53,340,1956690,1
41,5,665,22250295,1
42,140,12,21641858,1
43,14,1,599950000,1
44,913,915,115022819,1
45,82,2210,3449524573,2
46,2,38,25849488,2
47,37,411,10999432006,1
48,23,5,95194461,4
49,44,896,1250157,1
50,362,44,51971883,1
51,889,188,15633788,2
52,1,788,209919500,1
53,66,44,576951810,1
54,1804,188,1524302,1
55,0,1047,1357926,1
56,1030,0,28469917,1
57,510,188,10125351,2
58,217,994,3319864,1
59,18,1466,13939666,2
60,64,2,11134459805,46
61,67,1035,5603219,1
62,14,2,1150059835,6
63,18,538,4159198,1
64,1,1641,53818506892,49
65,172,2246,1225940814,1
66,116,424,116833463,1
67,2,3055,45579588,2
68,1350,648,126260000,1
69,0,662,233858405,120
70,66,923,39011734,1
71,374,771,279232900,1
72,455,188,995078,1
73,21,2187,4571395,1
74,839,1,674860211,2
75,116,71,7165115,1
76,8,2,70793093539,17
77,1906,56,12044925,1
78,326,2210,5665805,1
79,33,2229,19483330171,3
80,12,1502,30454791025,1
81,75,1701,3985310,1
82,18,575,5477462,1
83,167,950,231799498,1
84,1360,2924,80683604,1
85,25,32,1010677564,2
86,56,658,27515397846,1
87,25,56,5530046100,11
88,3,1478,30008585,1
89,411,61,82735129,3
90,1,56,9120157859,11
91,2533,148,997985310,1
92,2929,132,1405878002,1
93,14,99,38237134013,6
94,30,1,14550196,2
95,132,2228,768446653,4
96,821,984,15426245,1
97,12,5,465814173,9
98,33,56,2215108212,1
99,386,2230,1006669,1
100,350,188,2347202,1
101,1100,56,935992333,2
102,199,30,134197768,1
103,778,1603,1180264516,4
104,613,1089,5542568,1
105,374,71,610564000,7
106,899,2815,10533328,2
107,23,150,51080826,1
108,2131,1,13132030,1
109,708,538,507683786,1
110,138,1815,31288901,1
111,1,627,542973033,8
112,551,0,7874535596,1
113,61,2210,4412015296,20
114,116,2187,209394856,2
115,150,2784,8827709923,3
116,1083,374,220800203,2
117,44,86,12065948,2
118,32,25,43638584,4
119,131,12,36943880,1
120,265,2210,89522658,2
121,14,821,226323907,1
122,162,22,158561476,1
123,1,2267,580394984,1
124,340,2183,160530121,2
125,36,2224,6676330,1
126,89,467,18547769375,1
127,2,484,1678355404,49
128,1,141,11066977,1
129,32,779,12524379,1
130,244,915,49858200,1
131,95,894,4034190,1
132,644,0,81326304,1
133,56,575,25367896940,2
134,82,1603,7790045786,3
135,1350,1435,155693700,1
136,253,994,3325171,1
137,126,32,466317400,1
138,11,1,538310009,2
139,833,376,299985310,1
140,2,169,69968023,4
141,304,318,10961077,2
142,189,15,22341153,2
143,102,0,145718221,3
144,38,2248,86542600,1
145,150,2,966518090,5
146,2929,2,11620844848,8
147,64,2351,23028373,1
148,73,839,950633197,1
149,12,2228,1187744573599,40
150,1683,12,343101625,3
151,29,1776,13391416,2
152,1042,0,356591772,1
153,85,286,1533238,1
154,79,1054,16850968,12
155,202,376,21829100,1
156,195,304,9716286,1
157,23,113,2320016,2
158,1649,1152,91695336,1
159,2,71,46032381,2
160,445,915,17759292,1
161,12,185,83389074,5
162,135,24,167904218,1
163,46,2210,1285839549,6
164,2,21,227945184,9
165,219,2210,179990000,1
166,199,984,99982000,1
167,25,252,689306122,3
168,8,38,4616531588,3
169,1083,59,480051049,1
170,529,662,1085577,1
171,1439,73,556327937,15
172,12,2204,1827287461500,60
173,148,24,1306956017,1
174,148,2204,87661235975,2
175,276,196,352986271,2
176,11,1776,1251865852,2
177,2,12,14973120769,125
178,30,2294,11896040,1
179,172,1603,5915220032,5
180,1100,1397,187070078,3
181,374,731,122100557,1
182,12,1685,19231110,7
183,33,1257,40649195274,6
184,64,2248,3415921549,17
185,51,939,7198861,1
186,61,148,40623637,1
187,12,607,60909582050,2
188,878,478,402377,1
189,192,1324,21078788,1
190,64,23,183434188,3
191,2248,2368,21175675,1
192,395,662,98100000,4
193,1559,1397,65482550,1
194,5,25,2272559,1
195,23,148,71589849,2
196,29,44,3910631,1
197,12,2365,30454791025,1
198,839,648,1135445759,5
199,12,411,184228650250,7
200,56,1466,360543953816,7
201,396,2219,4154196179,10
202,0,342,20000,1
203,73,323,14055879,1
204,134,662,16180299,1
205,67,2,105828901,1
206,369,512,1229737,1
207,779,56,276990082,2
208,150,2831,193303618,1
209,638,0,14638606,8
210,839,2131,279863602,3
211,374,0,754094549,5
212,33,411,16299166832,4
213,278,2183,687889281,3
214,484,12,1200420,1
215,2248,252,23674540,1
216,2,894,664593200,3
217,113,0,70354100,2
218,113,2,736335002,9
219,484,0,194247620,8
220,88,211,5956958,2
221,11,73,6352870577,15
222,56,772,86358019407,1
223,61,464,1751054,1
224,22,1257,8947470,1
225,61,2157,102992481,3
226,113,1082,1965604,2
227,2,1083,304708859,5
228,337,0,178084400,1
229,1745,105,3206014,1
230,411,1603,115873956,9
231,12,2510,30454791025,1
232,12,16,700592105239,26
233,86,702,1439755,1
234,2,1776,188147591,7
235,244,95,999974100,1
236,152,984,16047987,1
237,0,294,6014240,4
238,11,464,53380940,1
239,162,923,730151621,2
240,666,2210,137300160,1
241,297,2305,161351899,1
242,1,849,708911966,1
243,12,581,61836626679,21
244,2248,648,814214865,17
245,14,733,263432207,2
246,528,894,146564000,3
247,66,29,4016565239,2
248,1383,894,9985310,1
249,2,113,2063400180,66
250,2,939,840350420,1
251,627,2,1708302,1
252,293,1603,67684339049,25
253,683,188,11782209,1
254,38,290,226900503,1
255,12,943,21847063,2
256,116,95,350257613,5
257,369,12,469578,1
258,1100,12,785980386,1
259,749,2,519980000,1
260,22,2231,39999752945,1
261,396,220,165573565,1
262,56,2,1939280555685,104
263,11,434,491166746,1
264,12,1238,578641029475,19
265,298,2187,6259841035,2
266,474,676,199525796,1
267,122,67,24845837,3
268,56,297,1320317333354,33
269,374,225,248364363,1
270,150,564,2048033209,1
271,2,227,23932300,1
272,11,1077,637566977,1
273,64,132,26662156,1
274,1089,376,8000029,1
275,18,901,363956457,48
276,1439,286,2301921,1
277,64,44,609492826,5
278,11,12,194018313,1
279,38,484,200403539,1
280,653,239,2550590,2
281,867,61,246235471,2
282,73,25,197459716,6
283,517,92,4345141,1
284,866,38,1132256708,1
285,2,152,889537803,19
286,150,581,4209526917,1
287,371,1119,9098016547,1
288,245,2223,4164000,1
289,608,376,99436744,3
290,371,2204,9098016547,1
291,2,74,23860554,1
292,195,12,9716286,1
293,66,662,7070815436,6
294,132,2183,50227851,1
295,2929,2218,2905211212,2
296,33,1119,10100891337,2
297,73,1015,1272322,1
298,85,148,57212809,1
299,28,939,49835274,1
300,374,1714,227150586,1
301,56,374,12984067424,1
302,1042,44,61893545,1
303,176,1089,18236686,1
304,592,12,59980620,1
305,0,2228,12533049,2
306,11,1313,208673363,1
307,796,894,101043942,1
308,216,188,2462954,1
309,180,61,4999981920,1
310,551,2231,7874535596,1
311,2248,145,15729811,1
312,2248,1641,63308602,3
313,12,942,124599729,1
314,25,0,44562769479,90
315,95,56,26514015,2
316,22,2223,11101410,1
317,30,1143,300190162,1
318,1139,0,16232964,2
319,1,668,5924027,1
320,859,2,5159692,1
321,148,23,1113680603,1
322,531,75,1181310,4
323,73,44,1193598,1
324,113,95,607260560,5
325,32,3055,1976558,1
326,376,470,23000075,1
327,8,286,378649571,1
328,56,2646,37383530068,1
329,12,478,13940938,1
330,199,1830,38853166240,2
331,56,63,343738627122,6
332,0,49,3312993,1
333,376,1445,166295255,7
334,484,901,3480450,1
335,126,358,620443749,2
336,159,891,3218010,1
337,150,82,193303618,1
338,2,2194,23910674,1
339,1,2920,12908020526,8
340,940,185,15430,1
341,298,662,8055978913,1
342,64,648,5044380881,19
343,86,121,5972935,1
344,0,2962,1323919,1
345,67,23,419898758,7
346,177,376,122875170,5
347,134,2663,108050237,1
348,12,1440,11571742,1
349,3,56,240301880,8
350,12,1454,1499904100,1
351,148,1061,1929369247,1
352,581,239,2371364,2
353,778,564,6187486806,6
354,116,1714,37786711,1
355,302,1089,142999000,1
356,32,5,840153,1
357,1143,0,4364157,1
358,206,949,153987513,1
359,1530,252,1579000,2
360,64,1776,2390496474,3
361,1701,995,44389191,1
362,2248,1132,14755538,3
363,1439,2182,84880630,2
364,374,203,262349552,1
365,11,286,227293607,1
366,124,129,54142791,1
367,25,44,1294320709,3
368,85,1397,56379858,1
369,36,1603,18109930,1
370,32,662,28582117,2
371,795,1143,100065704,1
372,0,675,949860261,9
373,578,188,1779946,2
374,3004,2210,10277024,1
375,11,665,4595210251,10
376,56,1603,1718376185860,45
377,374,277,132621573,1
378,56,2148,33450623047,2
379,18,640,17669075,1
380,64,5,476930514,2
381,89,984,18540354337,1
382,22,0,28337620,2
383,56,362,60792553921,1
384,32,648,19602682,2
385,32,2248,398172990,47
386,2,27,63713954,2
387,155,484,89902974,1
388,30,29,88235722,1
389,12,867,424929749279,13
390,2131,2210,445779618,4
391,56,564,274678251463,5
392,795,640,100065704,1
393,0,894,700294734,47
394,46,140,159649560,4
395,156,85,166677083,2
396,252,2187,1518221,1
397,14,5,9799950000,1
398,581,648,2830969,1
399,133,159,17563114,1
400,350,894,122807284,1
401,0,1440,239470765,45
402,2042,478,668280,1
403,22,132,79999505890,2
404,369,1440,198985122,1
405,38,461,196275,1
406,1,1401,4856500,1
407,12,79,5047021,3
408,1350,12,131857000,1
409,588,1440,19169145,1
410,140,56,596572179,5
411,104,466,54171210,2
412,592,25,236950690,2
413,2,2465,21215606,1
414,964,25,10799168,2
