,Source,Target,value,nb_transactions
0,297,928,89246600,1
1,309,160,9980000,1
2,278,669,678062471,1
3,2395,838,595619200,1
4,1057,212,271930499,3
5,15,2210,335106680,2
6,28,1042,14289219,1
7,611,2207,200220000,1
8,79,260,1828602,1
9,58,2698,51343590,1
10,291,44,12259394,1
11,1404,689,54989210,1
12,239,2,6967451,5
13,165,813,681366970,1
14,969,1,10059745,1
15,73,95,6592803,5
16,936,2187,289409251,1
17,124,89,138320000,1
18,105,675,535521113,1
19,1090,245,3704000,1
20,143,194,30517951,1
21,204,137,449479000,1
22,999,1038,216180410,1
23,943,2913,650818501,1
24,374,2571,122849379,1
25,494,1283,88275300,1
26,15,2194,8760220,1
27,73,113,12824239,3
28,936,2673,2794486979,3
29,771,2455,62496114,1
30,1404,1344,52473493,1
31,428,1603,11247609584,5
32,936,12,650883081,2
33,2281,258,104399500,1
34,765,1266,347717000,1
35,1999,611,299860000,1
36,1095,2210,283412994,1
37,12,1961,12981830,1
38,743,2348,137495300,1
39,286,2498,362289814,1
40,12,1449,35783840171,2
41,247,25,86800000,1
42,831,2108,99900000,1
43,2521,3002,14609028,1
44,302,1042,1027606100,1
45,2262,348,499980000,1
46,64,2607,485034592,1
47,8,507,29485404594,7
48,472,2224,41289178,3
49,150,72,194745659,1
50,219,157,79926620,1
51,32,2139,106055700,1
52,151,1352,2748248240,2
53,689,203,271969710,1
54,392,2310,73181973,1
55,77,2210,103637176,1
56,1633,288,12290000,1
57,435,15,410360000,1
58,82,507,16815245,3
59,28,320,164420984,1
60,688,1,199540322,2
61,28,414,162624365,5
62,71,912,7995480,1
63,936,2183,341295928,1
64,413,590,1499980000,1
65,30,12,47756910,4
66,30,56,1810805020,1
67,378,1626,178472190,1
68,12,2133,35782521306,1
69,56,1,252607653041,3
70,28,1702,13168757,1
71,2250,2659,60250000,1
72,748,297,127730000,1
73,187,2355,99980000,1
74,2886,149,481054121,1
75,12,61,30058779878864,835
76,193,99,9674796,1
77,1021,1192,658366110,1
78,28,3089,9600159,1
79,1,1903,3581169,1
80,2,61,447689529,6
81,56,20,977578870743,26
82,434,2210,31585343,1
83,57,1484,10160000,1
84,0,29,1091086,1
85,1,73,137553594,4
86,113,598,16870073,3
87,61,290,10921908849,4
88,14,735,5587570,1
89,1404,1114,37792640,2
90,0,901,172100,1
91,950,2488,500460000,1
92,378,438,260140000,1
93,278,767,261140190,1
94,1019,17,480795607,1
95,14,772,2062880725,1
96,838,1197,55659237,1
97,999,138,162070000,1
98,9,1089,56674101,3
99,91,563,7240900,1
100,4,44,124156821,1
101,1871,85,342008483,1
102,195,792,3295412,1
103,2,297,421480524,7
104,3048,1344,100819430,1
105,150,478,81309752,1
106,12,612,35357018,1
107,134,374,250725476,2
108,56,1238,807387680140,22
109,2170,1817,799980000,1
110,29,1501,19120000,1
111,168,437,19316570,1
112,1802,2342,53523200,1
113,1773,404,22102655,1
114,923,2223,2241151,1
115,762,564,41426556373,5
116,52,2305,1245421696,2
117,0,2194,53416781,7
118,2423,306,46163410,1
119,28,76,12189175,1
120,31,2984,1816927,1
121,1283,291,298530691,1
122,529,38,64754207,1
123,278,126,507187112,1
124,11,917,950521331,1
125,109,723,113735937,1
126,1255,466,359544279,2
127,120,85,85977156594,65
128,1105,196,63568938,2
129,2883,338,68793900,1
130,452,954,101725520,1
131,2199,494,106592800,1
132,18,1728,9815829,1
133,120,95,3969339799,3
134,9,788,487210000,1
135,95,2,521993,1
136,260,916,1470099932,1
137,1023,56,1442217,1
138,2262,2040,122080000,2
139,129,2224,23715822,2
140,795,2224,39569837,2
141,1350,923,819926300,3
142,165,20,64744700,1
143,2248,28,55480769,1
144,357,2615,421860000,1
145,507,1944,3771881619,2
146,18,665,9815829,1
147,1696,1281,154810000,1
148,1350,1776,146670300,1
149,654,2248,735585423,4
150,431,2269,9695571,2
151,28,59,26714064,2
152,1439,1397,100632168,12
153,2645,611,299860000,1
154,166,2246,30479553,1
155,689,2451,621250000,1
156,184,32,99980000,1
157,1626,147,791950304,1
158,1,1089,3930917,1
159,512,478,1586845,1
160,375,2210,228815199,2
161,2483,950,11391100,1
162,0,1761,119981920,1
163,246,892,1874686,1
164,195,0,39544944,12
165,80,2248,2543596,1
166,923,0,486161076,20
167,526,1192,494815300,1
168,1773,2246,99987570,1
169,800,204,1766431710,2
170,153,53,119990000,1
171,694,2254,101940000,1
172,95,984,23997546,1
173,1788,1815,2380932131,1
174,16,850,1714900527,1
175,2149,2868,27610000,1
176,2886,767,1948248100,1
177,244,675,10783106751,14
178,295,665,99861675,1
179,0,103,90868,1
180,2143,301,999047800,1
181,2385,61,231900000,1
182,203,565,39980000,1
183,0,188,6042500,1
184,271,1089,31205159,2
185,11,2182,5907394064,5
186,56,244,115168966305,2
187,24,188,2348961,1
188,14,105,402860000,1
189,16,1397,106516716497,27
190,1015,564,3351195,1
191,644,125,352990000,1
192,12,1281,2468993970114,69
193,2248,627,74836447,1
194,439,398,140060000,1
195,462,56,242830219,1
196,8,85,11610751332,2
197,15,0,156585047,1
198,658,1520,113326000,1
199,2203,526,214840000,1
200,398,1197,50569790,1
201,5,1478,1596648,1
202,1073,2095,34816600,1
203,893,61,6777910,1
204,74,2276,51007305,1
205,357,1440,14074829,3
206,1039,1089,12487570,1
207,512,1083,1800000,1
208,1916,77,1675570,1
209,205,22,243720300,1
210,2886,1447,2000660000,1
211,3035,469,5424200,1
212,554,925,199176000,1
213,800,57,1608232800,1
214,215,739,2944038,1
215,943,570,200350000,1
216,2248,1089,3028016,1
217,2623,338,299980000,1
218,3,2229,81078825,1
219,8,245,6782589530,1
220,430,484,71688004,14
221,28,291,69008345,2
222,105,467,9820491667,19
223,594,392,77883590,2
224,747,2219,11352048,3
225,34,188,2654736,1
226,2037,999,299980000,1
227,0,923,9667561,6
228,2248,239,604378655,9
229,657,575,7460000,1
230,38,2210,1452747708,1
231,1,2210,406388102,5
232,1706,2183,199637897,1
233,40,5,5524472528,1
234,927,1729,100277000,1
235,152,342,398111998,2
236,2248,484,2567598606,48
237,43,376,88460000,1
238,120,467,7936240335,6
239,973,546,10759978355,1
240,624,1089,5261930,1
241,30,984,12000935782,3
242,369,964,250789490,1
243,267,2095,100220000,1
244,0,1047,1792830,1
245,167,99,709543461,1
246,2172,61,248782800,1
247,1500,1352,100080000,1
248,448,444,31898631,3
249,2615,43,346290000,1
250,2623,245,256980000,1
251,235,188,7190000,1
252,2446,2130,439680000,2
253,592,294,5312517,1
254,23,2215,46697413,5
255,297,31,235736371,2
256,516,1528,866552000,2
257,2355,245,500300000,1
258,694,723,70240000,1
259,407,1120,41533467,1
260,398,277,819503200,1
261,2248,892,1799951658,2
262,12,512,753568271,11
263,89,1786,399960000,1
264,369,0,711138108,6
265,2496,2262,400250000,1
266,23,85,1718391,1
267,369,12,27526775,1
268,72,2194,23973935,2
269,1076,392,796349276,1
270,12,154,35782521306,1
271,821,478,1493253,1
272,1021,43,558446110,1
273,2163,444,26460300,1
274,755,185,2808040,1
275,444,0,30060000,1
276,2697,1043,2810268600,3
277,185,38,347197599,2
278,1089,867,90000577,5
279,2318,338,36907900,1
280,439,935,437120000,1
281,778,984,23915559,1
282,879,1133,233513318,20
283,943,984,2228940183,3
284,907,2183,22810000,1
285,23,507,4326899,1
286,452,483,208181809,1
287,0,939,6747280,3
288,116,1732,90333462,1
289,56,146,830942139128,12
290,278,984,269977138,1
291,392,3056,103958941,1
292,909,1782,407098200,1
293,33,127,2752854570,2
294,1494,796,133405446,1
295,150,665,34148509545,21
296,267,1395,199980000,1
297,575,2194,1562600,1
298,1243,1859,58328483,1
299,2,2201,61894453,1
300,44,289,5997314,1
301,322,2224,32182853,3
302,1165,223,28026400,1
303,71,1397,12814191,1
304,9,648,117363958,1
305,2248,56,6013306156,11
306,114,73,683994010,1
307,516,1089,7405998,1
308,424,11,4080975140,2
309,228,741,21421000,1
310,1704,2224,20586056,2
311,1496,1243,9990000,1
312,25,762,10000000,1
313,108,1344,187760000,2
314,75,1644,371526700,7
315,80,546,9980000,1
316,288,720,110080000,1
317,12,1298,35782521306,1
318,2,2248,892946176,11
319,633,2113,364929600,1
320,12,648,35984572203,4
321,984,8,62737210092,6
322,115,837,62345700,1
323,12,2294,35782521306,1
324,1470,1603,17348068,1
325,2,234,60480142,1
326,12,2182,36413020043,9
327,2,1714,1363367902,17
328,291,1641,36778182,3
329,76,1641,62690444,2
330,1395,40,549980000,1
331,485,188,17338158,1
332,2697,3093,199980000,1
333,1761,2224,6606620,1
334,32,2721,4844810,1
335,8,2708,18262985872,2
336,2,715,27629718,1
337,45,87,16037191,1
338,1434,24,10034440,1
339,0,1,812740555,88
340,147,468,1521023601,1
341,639,464,290870000,1
342,1023,0,2059497,1
343,143,1093,188462237,1
344,2345,357,38780000,1
345,8,185,2702515511,1
346,882,188,19432384,1
347,649,648,199990000,1
348,43,1641,12155945,1
349,117,1,83484148,1
350,0,276,1189556,1
351,143,897,198979274,1
352,665,266,12092326298,1
353,14,2231,199990000,1
354,40,152,42975069023,8
355,469,2016,99870000,1
356,471,199,101678705,1
357,87,20,510020800,1
358,53,0,54331827,5
359,1352,1254,1179610400,1
360,998,2296,301610000,1
361,65,1043,68437800,1
362,1938,2025,15721103323,3
363,902,2289,607930848,2
364,2,188,24808689,1
365,56,893,168081086170,4
366,975,2355,56041798,1
367,673,188,7829130,1
368,445,12,1532162,1
369,4,2041,114918732,1
370,12,368,121651073,1
371,45,25,11879708,1
372,2191,268,2019274,1
373,2883,54,499980000,1
374,1696,61,2232626291,21
375,44,374,2719124,1
376,60,7,322684070,1
377,44,581,8638700,1
378,1357,546,199980000,1
379,44,67,122236916,2
380,2478,2130,648635200,1
381,2380,188,22437033,3
382,1100,30,50997066,1
383,2131,731,10773591,1
384,199,2229,43349885,1
385,1021,147,100040000,1
386,0,555,3901220,5
387,677,2329,26800561,1
388,23,901,394544565,3
389,368,2210,87553070,1
390,1073,143,99980000,1
391,427,1176,100080000,1
392,87,909,725700800,1
393,170,1089,3789968,2
394,105,1705,988755176,2
395,2692,1776,48271059,1
396,348,2210,1064432,1
397,66,23,9618493643,2
398,56,665,236600519050,11
399,8,831,281156225,1
400,131,1089,13786225,1
401,54,800,100080000,1
402,89,1943,100200000,1
403,1061,396,78040634094,5
404,999,822,20780000,1
405,1500,2488,100080000,1
406,116,249,1945000,3
407,2248,2305,1241254424,3
408,92,484,340000,1
409,1850,508,495540000,9
410,588,1135,42074623,1
411,194,348,99980000,1
412,64,226,150136280,1
413,291,512,24518788,2
414,105,303,245161822,1
415,56,1696,4364361099,1
416,1142,1311,135402872,9
417,620,563,46935970,1
418,64,896,2291605006,4
419,1035,1466,73387100,1
420,2,484,1909357967,20
421,33,353,3208928504,1
422,278,73,966360614,3
423,204,3093,94446000,1
424,596,1005,11462342,1
425,2,1454,208249484,2
426,11,2185,1505013055,2
427,1,512,64685953,1
428,1564,2446,30060000,1
429,291,643,9980000,1
430,2296,1814,400940000,1
431,69,323,13385441950,1
432,2363,16,23572818328,2
433,105,166,480311429,1
434,1588,507,2037570,1
435,894,2183,64013332,1
436,239,507,1320653,2
437,823,1311,1145318,1
438,885,2183,8140288410,3
439,819,131,1437058300,1
440,929,0,2285423,2
441,1447,236,9980000,1
442,923,762,35325011,2
443,631,467,518044943,1
444,17,1093,400060000,1
445,85,2204,58179419,1
446,7,374,18215982,1
447,471,82,87285693,1
448,40,455,25983568873,5
449,0,49,19463420,2
450,1,38,566986120,1
451,2,2853,39956969,1
452,143,469,49880000,1
453,11,1,1283544832,2
454,1404,1564,300310000,1
455,556,212,70121970280,1
456,3028,301,499980000,1
457,2511,839,7432221,1
458,2,73,674751000,12
459,2068,2224,20683725,2
460,244,2,58033571,3
461,2203,2215,30970000,1
462,2248,374,5225271,1
463,0,688,3018539,3
464,116,1728,14811400,1
465,594,1657,157837795,1
