,Source,Target,value,nb_transactions
0,0,512,675900,3
1,1031,2183,89525074,1
2,963,554,2209966676,2
3,2457,104,8768342,1
4,427,270,98980000,1
5,1007,1449,6621483,1
6,587,707,109133672,1
7,590,56,14637808,1
8,494,1532,291910181,1
9,355,1478,19095619,1
10,55,850,200253272,1
11,2883,3,9990000,1
12,1721,400,132628713,1
13,278,0,5103975793,18
14,1515,3,31330000,1
15,245,2248,89717771,1
16,2902,148,551403783,2
17,121,2182,6541659,1
18,644,379,193372454,1
19,1243,908,47112939,1
20,643,3086,365980000,1
21,10,132,861731245,2
22,12,398,92609839,1
23,489,2,8388334,1
24,105,1024,704725120,1
25,71,2248,5515576,1
26,2468,665,3194439,4
27,152,1472,32586962825,16
28,2379,587,5298677,1
29,689,1532,151160000,1
30,2607,791,707090000,1
31,113,424,171790189,1
32,226,25,14491617,3
33,1,0,16558778852,103
34,304,34,532877,1
35,923,3005,156138262,7
36,291,1234,249776000,1
37,1176,357,163660000,1
38,2227,309,46950000,1
39,38,2,16261113978,6
40,38,891,12897950067,2
41,730,2076,450265800,1
42,148,984,50081730134,2
43,28,32,16827029,2
44,939,2,8867293,4
45,728,2468,243072734,1
46,3120,828,259988408,1
47,1533,749,1639900000,1
48,252,2187,119990000,1
49,172,239,1490056000,1
50,193,1641,390221478,1
51,0,113,240656216,191
52,73,779,35995557,1
53,616,2210,1000000000,1
54,707,476,22468137,1
55,2615,1716,301490000,1
56,689,3093,368988151,1
57,827,1397,12063857,1
58,264,2443,116750458,1
59,28,785,8192723,1
60,168,2,4990051,1
61,1,648,248707930,1
62,1048,2183,70299298,1
63,1,1397,401263491,4
64,12,67,59238282,1
65,12,549,97534747,1
66,185,675,128070790,2
67,53,0,84187750,6
68,12,42,166922722,11
69,12,1335,2838751,1
70,428,166,199890000,1
71,10,529,696726207,2
72,11,2026,435725311,1
73,1701,95,32504412,1
74,885,2183,3920583334,2
75,305,1337,956831925,1
76,867,2227,204530000,1
77,334,762,39999990000,1
78,419,984,16239192000,28
79,56,1875,4726915001,4
80,92,1644,361312673,2
81,28,73,11087240,2
82,226,779,69394104,2
83,2136,1089,5122548,1
84,38,85,133886341,1
85,217,2342,40170000,1
86,59,2246,19541223,1
87,148,538,239988581,1
88,507,56,16141124,2
89,30,11,1189606462,92
90,571,151,6115214,1
91,42,276,3383109543,3
92,838,928,52990000,1
93,25,2,10382665,2
94,113,225,14067239,1
95,10,2182,886710163,2
96,469,96,215331091,2
97,426,0,5418806,1
98,644,160,386820185,1
99,132,1281,5070134461,5
100,1597,2496,491772361,1
101,28,1449,985247979,9
102,132,1660,2784263963,2
103,28,244,28982341,3
104,20,2886,175910000,1
105,828,665,232396200,1
106,45,1954,510931029,3
107,28,903,47333594,1
108,689,291,415710000,1
109,143,2246,41461857,1
110,82,2183,3384848,1
111,64,32,2545786799,7
112,3,16,219443944,1
113,1364,20,102182140,1
114,14,772,108381253,1
115,106,37,23138103,1
116,239,2248,63237652,9
117,276,225,221368696,4
118,419,44,214150000,1
119,17,1391,55745771,1
120,85,146,185285594,11
121,0,1457,22436036,1
122,28,118,1536189172,19
